"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Morávka","16 475,62","8 729,43","23 813,35","400,00","2 094,33","6 264,95","1 209,74","1 542,32","12,00","0,00","410,00","1,00","1 184,00","221,00","210,00","345,00","305,00","54,00","49,00","122,00","0,00","0,00","7,00","46,00","0,00","0,00","1,00","0,00","45,00","0,00","0,00","0,00","0,00","115,00","1 942,32","29 059,73","44,00","6 319,17","27 117,41","22 740,57","0,00","7 245,72","97,60","233,41","0,00","920,97","0,00","143,88","53,43","34,41","1 072,00","23,00","13,00","14,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moravská Nová Ves","23 555,28","2 341,20","36 811,74","2 975,31","45,07","24 434,50","2 828,53","2 214,40","0,00","0,00","71,00","1,00","2 597,00","484,00","408,00","775,00","743,00","103,00","84,00","30,00","0,00","0,00","4,00","66,00","0,00","0,00","1,00","0,00","112,00","0,00","0,00","0,00","0,00","252,00","5 189,71","44 875,05","65,00","-3 114,73","39 685,34","47 989,78","0,00","367,33","1 261,53","191,03","50,47","118,97","115,76","131,14","46,27","58,70","1 593,01","59,00","30,00","23,00","Jihomoravský kraj","BŘECLAV","Břeclav",NA,"1,00",NA,NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Moravská Třebová","206 438,32","4 204,77","155 152,46","7 389,96","6 436,65","34 232,15","25 421,18","50 866,56","9,00","1,00","902,00","2,00","10 111,00","2 196,00","1 401,00","2 949,00","2 820,00","398,00","347,00","285,00","4,00","1,00","7,00","403,00","0,00","0,00","4,00","204,00","394,00","611,00","81,00","0,00","0,00","1 036,00","58 256,51","245 266,80","167,00","4 596,33","187 010,28","240 670,47","0,00","1 619,01","1 588,75","327,78","14,81","375,83","0,00","60,26","108,92","109,41","2 088,32","268,00","130,00","118,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy",NA,"5,00","1,00","10,00","6,00","5,00","1,00","159,00",NA,NA,"1,00",NA
"Moravské Bránice","7 368,86","821,18","12 230,68","1 247,09","214,05","3 074,05","1 198,51","265,13","2,00","0,00",NA,"1,00","1 003,00","174,00","157,00","297,00","290,00","39,00","46,00",NA,"0,00","0,00",NA,"15,00","1,00","0,00","0,00","0,00","45,00","0,00","0,00","46,00","0,00","0,00","1 512,22","15 155,45","25,00","4 712,54","13 643,23","10 442,91","0,00","302,14","281,39","91,92","6,25","26,14","53,49","19,49","26,41","13,94","393,68","17,00","7,00","9,00","Jihomoravský kraj","IVANČICE","Brno-venkov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moravské Budějovice","116 285,30","3 713,15","120 440,10","800,14","6 656,50","40 789,42","8 723,72","34 512,52","3,00","1,00","114,00","2,00","7 397,00","1 550,00","1 031,00","2 200,00","2 115,00","264,00","237,00","41,00","2,00","1,00","3,00","221,00","0,00","0,00","3,00","108,00","269,00","123,00","341,00","0,00","0,00","919,00","35 312,66","171 132,98","106,00","14 058,25","135 820,32","157 074,72","0,00","389,86","2 551,34","311,01","2,09","164,76","0,00","93,15","104,24","96,71","2 822,42","147,00","81,00","78,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA,"5,00","4,00","10,00","4,00","7,00","1,00","80,00",NA,NA,NA,NA
"Moravské Knínice","9 233,22","1 322,55","12 727,56","0,00","6,36","6 424,33","2 122,95","697,88","24,00","0,00",NA,"1,00","958,00","177,00","196,00","250,00","265,00","33,00","37,00",NA,"0,00","0,00",NA,"15,00","1,00","0,00","0,00","0,00","40,00","0,00","0,00","56,00","0,00","0,00","697,88","15 554,74","32,00","-102,81","14 856,86","15 657,55","0,00","613,54","532,55","100,61","3,00","26,88","0,00","6,92","24,82","14,24","587,25","5,00","10,00","14,00","Jihomoravský kraj","KUŘIM","Brno-venkov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moravské Málkovice","6 731,63","365,00","6 917,77","0,00","2,85","819,23","1 007,73","357,67","0,00","0,00",NA,"0,00","574,00","115,00","97,00","193,00","137,00","21,00","11,00",NA,"0,00","0,00",NA,"8,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","33,00","0,00","0,00","357,67","8 286,02","9,00","735,16","7 928,35","7 550,86","0,00","0,81","300,09","23,54","2,65","6,74","0,00","6,77","16,56","7,84","326,05","13,00","4,00","9,00","Jihomoravský kraj","VYŠKOV","Vyškov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moravskoslezský Kočov","8 757,50","1 497,76","7 332,82","1 619,59","17,40","1 108,48","2 610,68","1 544,23","1,00","0,00",NA,"1,00","549,00","78,00","85,00","191,00","140,00","30,00","25,00",NA,"0,00","0,00","1,00","17,00","0,00","0,00","0,00","0,00","23,00","0,00","0,00","0,00","0,00","0,00","3 163,82","13 124,72","18,00","3 258,74","9 960,90","9 865,98","0,00","493,26","42,44","156,38","0,00","782,03","0,00","4,84","8,01","10,82","832,47","11,00","3,00","6,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moravský Beroun","35 475,84","5 122,41","47 266,20","1 381,79","650,93","47 645,40","3 028,16","25 031,28","1,00","0,00","128,00","1,00","2 985,00","506,00","465,00","932,00","840,00","113,00","129,00","51,00","0,00","0,00","3,00","117,00","0,00","0,00","1,00","0,00","102,00","0,00","0,00","0,00","0,00","239,00","26 413,07","77 358,37","44,00","-5 762,87","50 945,30","83 121,24","0,00","1 898,41","1 327,36","323,33","0,00","1 465,87","0,00","29,57","27,53","50,34","2 820,76","115,00","31,00","44,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA,"2,00","1,00",NA,"2,00","1,00",NA,NA,NA,NA,NA,NA
"Moravský Krumlov","97 671,65","4 955,81","93 300,86","2 979,02","11 945,78","22 434,22","18 721,75","27 605,47","47,00","1,00",NA,"1,00","5 758,00","1 199,00","756,00","1 689,00","1 715,00","200,00","199,00",NA,"1,00","2,00",NA,"147,00","0,00","1,00","2,00","193,00","171,00","90,00","384,00","0,00","18,00","677,00","30 584,49","154 552,88","98,00","34 447,01","123 968,39","120 105,87","0,00","2 586,97","1 684,78","337,79","4,45","89,99","5,99","80,99","75,75","89,09","1 860,97","154,00","62,00","64,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo","1,00","4,00","2,00","9,00","5,00","1,00",NA,NA,NA,NA,NA,NA
"Moravský Písek","19 496,32","1 488,95","27 357,35","1 067,91","0,00","24 732,64","3 800,98","1 379,48","6,00","0,00",NA,"1,00","2 095,00","399,00","294,00","643,00","610,00","75,00","74,00",NA,"0,00","0,00",NA,"96,00","0,00","0,00","1,00","0,00","46,00","0,00","0,00","0,00","0,00","207,00","2 447,39","33 605,71","63,00","-10 623,25","31 158,33","44 228,96","0,00","395,23","612,70","189,45","0,00","136,47","1,71","77,41","37,50","38,48","788,38","70,00","22,00","20,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín","1,00","1,00","1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Moravský Žižkov","16 859,07","1 353,83","19 790,85","100,00","483,49","4 931,29","2 971,98","781,39","4,00","0,00",NA,"1,00","1 441,00","232,00","211,00","477,00","422,00","43,00","56,00",NA,"0,00","0,00",NA,"50,00","0,00","0,00","1,00","0,00","48,00","0,00","0,00","0,00","0,00","130,00","881,39","24 127,71","38,00","2 337,35","23 246,32","21 790,36","0,00","0,97","1 101,51","67,35","22,86","0,00","88,15","14,68","29,17","29,13","1 241,70","37,00","11,00","10,00","Jihomoravský kraj","BŘECLAV","Břeclav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mořice","6 437,48","450,69","6 630,94","634,78","16,76","3 561,71","914,70","1 190,78","0,00","0,00",NA,"1,00","529,00","87,00","89,00","169,00","149,00","16,00","19,00",NA,"0,00","0,00",NA,"14,00","0,00","0,00","0,00","0,00","16,00","0,00","0,00","0,00","0,00","0,00","1 825,56","9 387,95","26,00","-611,25","7 562,39","9 999,20","0,00","0,00","352,84","62,95","4,00","3,70","0,00","5,76","12,06","9,39","372,59","12,00","6,00","5,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mořina","9 930,48","982,94","11 224,54","400,00","2,00","4 627,67","3 142,47","191,75","1,00","0,00",NA,"1,00","842,00","121,00","169,00","264,00","243,00","22,00","23,00",NA,"0,00","0,00",NA,"16,00","1,00","0,00","0,00","0,00","35,00","0,00","0,00","38,00","0,00","0,00","591,75","14 960,76","27,00","402,61","14 369,01","14 558,15","0,00","134,49","550,27","167,08","5,61","88,84","0,00","3,20","17,46","16,00","662,18","19,00","6,00","11,00","Středočeský kraj","BEROUN","Beroun",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mořinka","2 046,74","701,97","2 491,25","0,00","133,00","1 379,41","89,92","101,07","0,00","0,00",NA,"0,00","152,00","33,00","23,00","41,00","42,00","7,00","6,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","101,07","2 815,22","3,00","-610,93","2 714,16","3 426,15","0,00","392,59","211,61","30,78","0,82","50,73","0,00","1,34","9,38","4,71","272,54","5,00","2,00","1,00","Středočeský kraj","BEROUN","Beroun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mořkov","30 937,61","1 072,17","32 364,91","126,74","48,20","4 453,21","2 980,00","3 268,44","8,00","0,00",NA,"1,00","2 502,00","477,00","398,00","741,00","709,00","92,00","85,00",NA,"0,00","0,00","1,00","48,00","0,00","0,00","1,00","0,00","89,00","0,00","0,00","0,00","0,00","220,00","3 395,17","38 788,28","47,00","3 397,45","35 393,10","35 390,82","0,00","403,43","428,85","82,24","1,52","75,65","0,00","9,09","46,27","25,12","552,29","56,00","25,00","28,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín",NA,NA,"1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Morkovice-Slížany","28 896,98","2 114,91","42 140,35","2 060,27","44,44","24 071,16","5 601,06","3 828,36","8,00","0,00",NA,"1,00","2 905,00","499,00","442,00","872,00","847,00","120,00","125,00",NA,"0,00","0,00",NA,"111,00","0,00","0,00","1,00","0,00","99,00","0,00","0,00","0,00","0,00","406,00","5 888,63","53 674,48","82,00","706,34","47 785,85","52 968,13","0,00","619,72","1 230,42","95,31","3,80","37,80","0,00","24,52","64,38","38,96","1 336,40","75,00","27,00","19,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA,"3,00","1,00",NA,"2,00","1,00",NA,NA,NA,NA,NA,NA
"Morkůvky","5 970,03","675,37","5 765,34","255,60","34,13","638,32","488,98","1 354,91","3,00","0,00",NA,"0,00","483,00","80,00","80,00","145,00","125,00","23,00","30,00",NA,"0,00","0,00",NA,"12,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","14,00","1 610,51","7 898,96","25,00","1 290,61","6 288,44","6 608,35","0,00","140,26","427,17","29,83","17,11","28,48","7,63","3,55","8,66","12,68","489,06","8,00","2,00","11,00","Jihomoravský kraj","HUSTOPEČE","Břeclav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mošnov","11 259,94","1 208,08","16 597,16","0,00","0,00","3 202,49","963,15","870,70","2,00","0,00",NA,"1,00","724,00","139,00","119,00","234,00","185,00","28,00","19,00",NA,"0,00","0,00",NA,"9,00","1,00","0,00","0,00","0,00","39,00","0,00","0,00","33,00","0,00","0,00","870,70","18 431,01","7,00","3 968,58","17 560,31","14 462,42","0,00","124,14","487,80","386,66","0,00","127,50","0,00","14,04","29,44","38,50","644,74","29,00","8,00","4,00","Moravskoslezský kraj","KOPŘIVNICE","Nový Jičín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Most","1 058 607,17","8 694,13","1 096 985,41","12 221,65","114 168,03","129 858,92","81 350,10","135 812,05","34,00","1,00","693,00","6,00","66 644,00","11 967,00","10 378,00","20 599,00","19 518,00","2 175,00","2 007,00","308,00","11,00","4,00","12,00","3 446,00","2,00","0,00","13,00","569,00","1 758,00","2 531,00","895,00","54,00","0,00","6 201,00","148 033,69","1 440 537,23","1 702,00","252 071,15","1 292 503,54","1 188 466,08","0,00","1 109,74","527,84","5 929,72","122,59","281,34","71,85","189,21","132,29","329,56","1 135,90","1 730,00","753,00","657,00","Ústecký kraj","MOST","Most","12,00","26,00","14,00","29,00","31,00","20,00","3,00","406,00","1,00","6,00","1,00",NA
"Mostek","2 768,66","469,15","3 515,23","400,00","0,00","682,17","396,01","242,55","1,00","0,00",NA,"0,00","251,00","34,00","51,00","76,00","70,00","14,00","6,00",NA,"0,00","0,00",NA,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","642,55","4 553,79","4,00","1 102,95","3 911,24","3 450,84","0,00","16,93","352,51","20,11","10,27","48,53","0,00","2,93","12,92","4,94","424,24","2,00","3,00","1,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mostek","14 481,42","1 330,74","16 713,48","2 200,00","4 227,70","20 238,02","6 238,57","1 875,01","1,00","0,00","114,00","1,00","1 216,00","315,00","163,00","334,00","293,00","61,00","50,00","30,00","0,00","0,00","3,00","28,00","0,00","0,00","1,00","0,00","34,00","0,00","0,00","0,00","0,00","78,00","4 075,01","31 254,76","26,00","-3 464,68","27 179,75","34 719,44","0,00","944,13","34,08","81,42","0,00","200,31","0,00","13,32","41,64","15,85","276,02","34,00","20,00","11,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Mostkovice","20 232,93","833,75","20 548,71","0,00","272,39","556,34","2 596,43","744,08","2,00","0,00",NA,"1,00","1 549,00","321,00","244,00","430,00","429,00","61,00","64,00",NA,"0,00","0,00","2,00","24,00","1,00","0,00","0,00","0,00","51,00","0,00","0,00","84,00","0,00","0,00","744,08","24 161,60","32,00","3 372,34","23 417,52","20 789,26","0,00","23,86","536,75","110,18","18,67","16,16","0,00","40,36","57,63","30,13","629,21","33,00","17,00","13,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,"2,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Mosty u Jablunkova","39 414,93","3 391,51","52 198,08","5 075,40","1 182,21","26 450,47","9 370,98","4 982,70","4,00","0,00","214,00","2,00","3 785,00","653,00","569,00","1 196,00","1 075,00","149,00","143,00","79,00","0,00","0,00","6,00","68,00","1,00","0,00","1,00","0,00","118,00","0,00","0,00","15,00","0,00","255,00","10 058,10","72 809,37","58,00","6 943,97","62 751,27","65 865,40","0,00","2 098,04","391,48","203,93","0,00","592,96","0,00","7,71","58,58","38,80","1 043,02","59,00","48,00","45,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek",NA,"2,00","1,00",NA,"2,00",NA,NA,NA,NA,NA,NA,NA
"Mouchnice","3 529,56","1 276,53","5 103,23","200,00","0,00","5 341,63","365,79","136,69","0,00","0,00",NA,"1,00","314,00","57,00","45,00","98,00","85,00","11,00","18,00",NA,"0,00","0,00",NA,"19,00","0,00","0,00","0,00","0,00","15,00","0,00","0,00","0,00","0,00","0,00","336,69","5 805,71","7,00","-3 065,48","5 469,02","8 871,19","0,00","737,08","384,45","73,28","3,36","47,71","0,00","5,35","16,07","9,23","451,59","12,00","7,00","6,00","Jihomoravský kraj","KYJOV","Hodonín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mouřínov","5 238,25","1 151,39","7 394,82","120,00","8,35","2 325,76","751,30","667,68","0,00","0,00",NA,"1,00","460,00","78,00","65,00","146,00","138,00","13,00","20,00",NA,"0,00","0,00",NA,"12,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","787,68","8 942,15","12,00","1 378,14","8 154,47","7 564,01","0,00","619,53","416,47","63,07","0,62","11,48","0,00","12,73","18,62","8,86","447,19","12,00","4,00","4,00","Jihomoravský kraj","BUČOVICE","Vyškov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moutnice","9 235,62","709,38","14 871,78","2 972,49","472,20","5 162,89","3 327,53","876,78","1,00","0,00",NA,"1,00","1 170,00","198,00","187,00","386,00","328,00","35,00","36,00",NA,"0,00","0,00",NA,"31,00","1,00","0,00","0,00","0,00","39,00","0,00","0,00","57,00","0,00","0,00","3 849,27","22 520,79","21,00","8 122,28","18 671,51","14 398,51","0,00","7,36","603,97","39,42","3,03","10,24","0,00","4,18","24,44","16,74","641,67","27,00","7,00","16,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrač","9 699,06","614,88","9 756,92","0,00","0,00","801,63","1 087,23","1 148,41","4,00","0,00",NA,"1,00","803,00","137,00","135,00","241,00","237,00","24,00","29,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","53,00","0,00","0,00","0,00","0,00","0,00","1 148,41","11 992,56","31,00","1 491,87","10 844,15","10 500,69","0,00","175,18","262,10","69,95","1,73","54,78","0,00","3,90","34,07","13,15","352,69","32,00","9,00","11,00","Středočeský kraj","BENEŠOV","Benešov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrákotín","3 309,07","518,16","4 267,48","100,00","22,38","507,90","306,94","323,65","0,00","0,00",NA,"0,00","359,00","70,00","64,00","117,00","98,00","5,00","5,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","423,65","5 020,44","1,00","1 203,47","4 596,80","3 816,97","0,00","38,94","334,08","28,49","0,53","95,61","0,00","1,20","12,34","6,97","442,56","3,00","2,00","7,00","Pardubický kraj","CHRUDIM","Chrudim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrákotín","10 810,76","1 827,46","12 288,22","244,28","41,66","2 770,84","4 179,57","1 069,69","4,00","0,00","154,00","1,00","888,00","171,00","143,00","273,00","239,00","35,00","27,00","45,00","0,00","0,00","4,00","65,00","1,00","0,00","0,00","0,00","29,00","0,00","0,00","34,00","0,00","0,00","1 313,97","17 823,42","21,00","4 241,82","16 509,45","13 581,60","0,00","995,95","316,16","125,88","0,27","259,28","0,00","89,97","22,49","17,47","598,20","15,00","9,00","13,00","Vysočina","TELČ","Jihlava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrákov","10 976,20","2 062,89","17 479,59","2 597,60","220,96","8 974,89","1 852,24","1 892,49","1,00","0,00",NA,"1,00","1 139,00","221,00","175,00","351,00","304,00","49,00","39,00",NA,"0,00","0,00","1,00","14,00","0,00","0,00","1,00","0,00","51,00","0,00","0,00","0,00","0,00","216,00","4 490,09","24 042,88","10,00","4 091,79","19 552,79","19 951,09","0,00","755,17","648,02","163,81","0,00","437,12","0,00","13,45","19,62","25,71","1 104,76","27,00","12,00","5,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mratín","13 565,80","489,86","15 862,10","649,20","286,99","2 388,76","2 343,09","336,05","4,00","0,00",NA,"2,00","1 337,00","149,00","311,00","403,00","407,00","37,00","30,00",NA,"0,00","0,00",NA,"17,00","0,00","0,00","0,00","0,00","92,00","0,00","0,00","0,00","0,00","0,00","985,24","19 477,42","59,00","3 522,86","18 492,18","15 954,56","0,00","21,28","360,41","38,73","0,80","16,83","0,00","12,20","27,70","11,89","405,75","39,00","11,00","11,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA
"Mříčná","6 238,62","1 004,83","7 992,20","270,00","89,61","2 223,24","1 534,62","599,39","2,00","0,00",NA,"1,00","581,00","98,00","100,00","197,00","156,00","16,00","14,00",NA,"0,00","0,00","1,00","18,00","1,00","0,00","0,00","0,00","18,00","0,00","0,00","37,00","0,00","0,00","869,39","10 485,82","32,00","2 023,95","9 616,43","8 461,86","0,00","276,80","308,09","47,86","0,80","342,32","0,00","6,71","13,76","8,50","664,97","17,00","5,00","5,00","Liberecký kraj","JILEMNICE","Semily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrlínek","1 946,94","394,07","3 352,92","0,00","149,56","158,04","324,26","125,94","0,00","0,00",NA,"0,00","275,00","49,00","32,00","89,00","78,00","12,00","15,00",NA,"0,00","0,00",NA,"7,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","125,94","3 952,67","13,00","1 847,69","3 826,74","2 104,98","0,00","35,48","278,38","23,59","2,52","33,89","0,00","1,94","12,50","5,78","327,29","3,00","6,00","1,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrsklesy","12 426,86","555,28","23 046,58","0,00","1 996,69","9 443,54","5 482,87","356,48","3,00","0,00",NA,"1,00","690,00","139,00","115,00","198,00","200,00","17,00","21,00",NA,"0,00","0,00",NA,"11,00","0,00","0,00","0,00","0,00","39,00","0,00","0,00","0,00","0,00","0,00","356,48","30 882,62","20,00","9 012,23","30 526,14","21 870,40","0,00","300,10","150,65","29,54","0,00","54,56","0,00","0,50","12,39","7,54","217,60","14,00","3,00","6,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrtník","4 101,22","390,51","4 306,46","0,00","0,00","928,06","1 659,33","334,71","3,00","0,00",NA,"0,00","332,00","49,00","47,00","94,00","106,00","15,00","21,00",NA,"0,00","0,00",NA,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","334,71","6 300,50","6,00","1 271,22","5 965,80","5 029,28","0,00","187,91","162,26","14,82","0,00","6,63","0,00","0,86","11,95","6,08","180,83","15,00","7,00","4,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrzky","1 752,42","286,33","2 096,39","0,00","51,00","290,00","118,11","76,03","0,00","0,00",NA,"0,00","153,00","27,00","24,00","46,00","44,00","5,00","7,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","76,03","2 341,53","0,00","299,11","2 265,50","2 042,42","0,00","38,27","198,64","15,78","2,00","16,70","0,00","3,41","6,06","5,48","223,39","6,00","2,00","1,00","Středočeský kraj","ČESKÝ BROD","Kolín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mšec","9 741,95","1 419,84","11 529,75","0,00","81,60","1 069,35","1 238,32","1 155,75","1,00","0,00",NA,"1,00","906,00","176,00","134,00","269,00","255,00","36,00","36,00",NA,"0,00","0,00",NA,"19,00","0,00","0,00","1,00","0,00","49,00","0,00","0,00","0,00","0,00","147,00","1 155,75","14 005,42","29,00","3 194,12","12 849,67","10 811,30","93,73","376,62","656,05","88,46","7,33","66,33","0,00","88,47","22,06","20,79","845,49","24,00","8,00","7,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Mšecké Žehrovice","5 027,41","1 404,72","7 666,64","0,00","13,96","854,37","788,48","274,50","4,00","0,00",NA,"0,00","624,00","99,00","117,00","177,00","175,00","26,00","30,00",NA,"0,00","0,00",NA,"13,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","274,50","8 743,59","38,00","2 861,81","8 469,08","5 881,78","31,99","479,63","664,83","61,66","11,93","79,22","0,00","47,22","11,02","17,22","798,99","23,00","8,00","11,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mšené-lázně","24 770,26","3 726,91","27 125,41","125,00","29,30","850,70","2 268,16","2 068,55","1,00","0,00",NA,"1,00","1 771,00","337,00","274,00","556,00","497,00","58,00","49,00",NA,"0,00","0,00","1,00","79,00","0,00","0,00","1,00","0,00","75,00","0,00","0,00","0,00","0,00","201,00","2 193,55","31 616,43","88,00","5 995,47","29 422,88","25 620,96","0,00","199,45","3 053,76","218,07","18,39","139,43","0,00","7,94","31,89","57,98","3 243,48","60,00","18,00","19,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Mšeno","35 872,57","2 673,48","30 435,17","470,85","47,95","9 650,05","4 389,89","13 435,30","1,00","0,00","236,00","1,00","1 430,00","304,00","215,00","393,00","417,00","52,00","49,00","65,00","0,00","0,00","4,00","25,00","0,00","0,00","1,00","0,00","65,00","0,00","0,00","0,00","0,00","299,00","13 906,15","48 779,16","59,00","3 256,54","34 873,01","45 522,62","0,00","953,29","1 234,07","164,87","39,78","159,50","0,00","23,27","61,88","36,81","1 495,24","27,00","33,00","19,00","Středočeský kraj","MĚLNÍK","Mělník",NA,"1,00",NA,NA,"1,00","1,00","1,00","83,00",NA,NA,NA,NA
