"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Přibyslavice","4 873,71","6 187,49","1 564,64","15,81","4 901,16","755,49","934,64","2,00","802,00","127,00","107,00","262,00","250,00","31,00","25,00","110,00","47,00","2 499,28","9 458,07","29,00","-316,80","6 958,79","9 774,87","12,00","7,00","11,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Příchovice","9 211,01","9 334,58","2 637,00","0,74","7 338,38","1 143,93","490,16","5,00","1 058,00","155,00","188,00","334,00","306,00","45,00","30,00","200,00","33,00","3 127,16","13 606,41","24,00","-2 942,98","10 479,25","16 549,39","10,00","7,00","10,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih",NA,NA
"Příčina","1 827,05","1 290,36","0,00","425,00","13,48","8,53","204,34","0,00","185,00","33,00","25,00","56,00","54,00","7,00","10,00","21,00","16,00","204,34","1 928,23","3,00","87,70","1 723,89","1 840,53","3,00","0,00","3,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
"Příčovy","2 237,27","2 006,16","0,00","1 145,48","1 081,81","312,11","326,07","2,00","291,00","39,00","43,00","96,00","90,00","14,00","9,00","74,00","15,00","326,07","3 789,82","9,00","470,74","3 463,75","3 319,08","3,00","0,00","2,00","Středočeský kraj","SEDLČANY","Příbram",NA,NA
"Přídolí","9 330,59","10 344,66","0,00","1 207,16","9 964,77","2 334,73","1 037,73","3,00","679,00","60,00","127,00","245,00","211,00","14,00","22,00","160,00","59,00","1 037,73","14 924,28","19,00","-4 371,08","13 886,55","19 295,36","21,00","6,00","8,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov",NA,NA
"Příkazy","12 085,91","11 001,07","0,00","5,84","594,49","1 854,32","1 873,82","2,00","1 214,00","207,00","180,00","392,00","353,00","45,00","37,00","228,00","66,00","1 873,82","14 735,05","29,00","2 054,64","12 861,23","12 680,41","25,00","17,00","15,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,NA
"Příkosice","2 398,91","2 792,99","100,00","121,50","627,47","429,49","315,99","1,00","385,00","75,00","71,00","112,00","101,00","13,00","13,00","77,00","20,00","415,99","3 759,97","17,00","733,59","3 343,98","3 026,38","15,00","1,00","6,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Příkrý","2 339,35","2 296,92","0,00","32,34","112,65","321,38","292,45","4,00","247,00","55,00","36,00","78,00","65,00","6,00","7,00","49,00","15,00","292,45","2 943,09","8,00","491,09","2 650,64","2 452,00","2,00","5,00","1,00","Liberecký kraj","SEMILY","Semily",NA,NA
"Přílepy","5 643,96","6 552,84","5 269,00","34,82","7 120,07","287,44","566,53","7,00","920,00","135,00","140,00","313,00","278,00","30,00","24,00","189,00","35,00","5 835,53","12 710,63","24,00","-53,40","6 875,10","12 764,03","28,00","9,00","11,00","Zlínský kraj","HOLEŠOV","Kroměříž",NA,NA
"Přílepy","1 580,27","1 918,45","0,00","13,50","195,68","261,75","87,19","0,00","209,00","29,00","30,00","67,00","63,00","11,00","9,00","42,00","15,00","87,19","2 280,89","5,00","504,94","2 193,70","1 775,95","9,00","1,00","3,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
