"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Čechtín","2 066,28","2 264,72","111,00","794,25","3 707,97","131,67","169,51","0,00","296,00","43,00","40,00","96,00","93,00","16,00","8,00","56,00","11,00","280,51","3 471,15","6,00","-2 303,10","3 190,64","5 774,25","7,00","2,00","1,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Čechy","2 813,06","2 748,09","4 809,29","5,05","5 260,80","213,59","297,20","0,00","341,00","67,00","47,00","108,00","97,00","11,00","11,00","45,00","14,00","5 106,49","8 073,22","4,00","-0,64","2 966,73","8 073,86","7,00","2,00","3,00","Olomoucký kraj","PŘEROV","Přerov",NA,NA
"Čechy pod Kosířem","9 413,93","8 040,41","17 772,47","3,90","19 097,22","1 924,91","951,92","2,00","1 037,00","173,00","164,00","332,00","298,00","32,00","38,00","176,00","63,00","18 724,39","28 693,61","20,00","182,46","9 969,22","28 511,15","15,00","19,00","12,00","Olomoucký kraj","PROSTĚJOV","Prostějov","1,00","24,00"
"Čečkovice","636,21","659,84","0,00","0,00","0,00","22,29","145,93","0,00","78,00","14,00","14,00","21,00","23,00","3,00","3,00","24,00","7,00","145,93","828,06","0,00","191,85","682,13","636,21","2,00","0,00","1,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod",NA,NA
"Čečovice","595,75","832,31","108,00","1,00","195,28","28,98","179,83","0,00","86,00","9,00","22,00","25,00","25,00","3,00","2,00","15,00","10,00","287,83","1 150,12","9,00","359,09","862,29","791,03","5,00","0,00","4,00","Plzeňský kraj","STOD","Domažlice",NA,NA
"Cehnice","43 259,47","4 413,78","11 198,19","8,32","13 388,17","1 110,34","37 474,47","0,00","474,00","84,00","57,00","163,00","138,00","16,00","16,00","115,00","33,00","48 672,66","54 205,10","14,00","-2 442,54","5 532,44","56 647,64","9,00","5,00","5,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA
"Čehovice","5 570,18","4 443,44","300,00","0,00","530,79","972,23","1 095,69","0,00","512,00","106,00","78,00","151,00","156,00","12,00","9,00","106,00","31,00","1 395,69","6 811,36","7,00","710,39","5 415,67","6 100,97","26,00","3,00","4,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Čejč","14 827,41","10 692,30","0,00","46,40","1 804,50","1 548,37","2 355,77","2,00","1 278,00","177,00","193,00","433,00","393,00","43,00","39,00","261,00","94,00","2 355,77","14 642,84","28,00","-1 989,07","12 287,07","16 631,91","19,00","10,00","13,00","Jihomoravský kraj","HODONÍN","Hodonín",NA,NA
"Čejetice","13 001,33","7 801,35","543,25","52,21","840,07","2 206,39","3 514,68","0,00","934,00","111,00","154,00","326,00","286,00","28,00","29,00","198,00","59,00","4 057,93","14 117,88","23,00","276,48","10 059,95","13 841,40","12,00","11,00","10,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA
"Čejkovice","353,69","385,27","0,00","0,00","0,00","88,69","86,40","0,00","33,00","10,00","0,00","12,00","11,00","0,00","0,00","8,00","3,00","86,40","560,36","0,00","206,67","473,96","353,69","0,00","1,00","0,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA,NA
"Čejkovice","2 199,08","2 751,43","257,28","0,00","329,29","344,56","490,00","0,00","332,00","34,00","61,00","109,00","106,00","13,00","9,00","88,00","16,00","747,28","3 843,27","7,00","1 314,90","3 095,99","2 528,37","3,00","0,00","3,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA,NA
"Čejkovice","21 763,85","20 118,79","13 538,02","266,56","25 185,59","5 964,37","3 380,18","5,00","2 511,00","384,00","354,00","839,00","776,00","80,00","78,00","487,00","192,00","16 918,20","43 267,92","38,00","-3 681,52","26 349,72","46 949,44","33,00","19,00","29,00","Jihomoravský kraj","HODONÍN","Hodonín",NA,NA
"Cejle","4 405,70","3 533,57","2 389,16","598,40","4 481,31","1 117,55","503,48","7,00","442,00","62,00","50,00","160,00","137,00","15,00","18,00","96,00","35,00","2 892,64","8 142,16","17,00","-744,85","5 249,52","8 887,01","16,00","1,00","7,00","Vysočina","JIHLAVA","Jihlava",NA,NA
"Čejov","6 935,37","3 773,79","0,00","8 166,18","4 799,16","1 755,58","465,04","5,00","463,00","75,00","77,00","143,00","141,00","12,00","15,00","103,00","20,00","465,04","14 160,59","25,00","2 426,06","13 695,55","11 734,53","13,00","2,00","8,00","Vysočina","HUMPOLEC","Pelhřimov",NA,NA
"Cekov","1 504,97","1 246,75","0,00","0,00","0,00","288,86","119,47","0,00","117,00","20,00","13,00","44,00","34,00","3,00","3,00","30,00","6,00","119,47","1 655,08","0,00","150,11","1 535,61","1 504,97","1,00","1,00","0,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Čeladná","39 998,53","35 128,42","66 904,98","15 475,95","67 669,74","16 635,05","3 265,25","15,00","2 434,00","435,00","345,00","771,00","724,00","85,00","74,00","584,00","116,00","70 170,23","137 409,65","127,00","29 741,38","67 239,42","107 668,27","46,00","26,00","18,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek","1,00","30,00"
"Čelákovice","138 932,34","113 158,50","0,00","23 285,18","60 042,31","56 246,66","18 051,57","26,00","11 611,00","1 704,00","1 929,00","3 681,00","3 501,00","426,00","370,00","2 645,00","326,00","18 051,57","210 741,91","389,00","11 767,26","192 690,34","198 974,65","312,00","97,00","151,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","2,00","37,00"
"Čelčice","6 457,81","4 734,94","300,00","3,90","2 134,64","1 011,17","492,54","1,00","544,00","73,00","65,00","190,00","186,00","14,00","16,00","90,00","49,00","792,54","6 542,55","7,00","-2 049,90","5 750,01","8 592,45","12,00","5,00","3,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Čelechovice","991,44","952,15","0,00","0,00","162,57","107,39","165,71","0,00","112,00","13,00","22,00","32,00","35,00","3,00","7,00","23,00","6,00","165,71","1 225,25","6,00","71,24","1 059,54","1 154,01","7,00","3,00","1,00","Olomoucký kraj","PŘEROV","Přerov",NA,NA
"Čelechovice na Hané","10 540,70","9 682,49","32 027,07","674,11","34 142,97","6 077,87","915,76","4,00","1 262,00","243,00","176,00","394,00","351,00","49,00","49,00","171,00","76,00","32 942,83","49 377,30","43,00","4 693,64","16 434,47","44 683,66","48,00","15,00","7,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Čelistná","970,32","848,95","111,00","0,00","444,11","119,71","103,45","0,00","109,00","14,00","24,00","29,00","33,00","3,00","6,00","16,00","9,00","214,45","1 183,11","3,00","-231,32","968,66","1 414,43","0,00","4,00","3,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA
"Čeložnice","3 431,49","3 555,08","35,00","3,25","1 993,74","416,74","404,04","0,00","404,00","85,00","53,00","117,00","117,00","13,00","19,00","61,00","38,00","439,04","4 414,11","8,00","-1 011,12","3 975,07","5 425,23","11,00","2,00","2,00","Jihomoravský kraj","KYJOV","Hodonín",NA,NA
"Čeminy","2 143,61","2 346,60","4 944,00","0,00","6 034,73","1 167,11","143,74","0,00","256,00","49,00","38,00","90,00","63,00","9,00","7,00","46,00","9,00","5 087,74","8 601,45","6,00","423,11","3 513,71","8 178,34","5,00","0,00","1,00","Plzeňský kraj","NÝŘANY","Plzeň-sever",NA,NA
"Čenkov","2 750,27","3 372,20","0,00","509,26","6,95","396,70","136,79","1,00","339,00","62,00","48,00","104,00","103,00","12,00","10,00","78,00","19,00","136,79","4 414,95","13,00","1 657,73","4 278,16","2 757,22","5,00","5,00","3,00","Středočeský kraj","PŘÍBRAM","Příbram",NA,NA
"Čenkov u Bechyně","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice",NA,NA
"Čenkovice","2 937,22","2 366,40","768,20","776,99","924,56","1 064,63","318,27","0,00","175,00","21,00","23,00","68,00","49,00","10,00","4,00","45,00","20,00","1 086,47","5 294,52","4,00","1 432,79","4 208,02","3 861,72","9,00","1,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA
"Cep","2 332,00","3 786,99","2 450,00","1,50","4 715,87","1 185,17","348,00","0,00","190,00","26,00","26,00","74,00","49,00","7,00","8,00","41,00","9,00","2 798,00","7 771,66","3,00","723,79","4 973,66","7 047,87","5,00","1,00","2,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec",NA,NA
"Čeperka","10 982,91","8 542,56","3 300,00","3 510,66","12 606,70","2 011,40","811,85","3,00","989,00","137,00","124,00","337,00","333,00","29,00","29,00","244,00","46,00","4 111,85","18 176,47","18,00","-5 413,05","14 064,62","23 589,52","25,00","10,00","8,00","Pardubický kraj","PARDUBICE","Pardubice",NA,NA
"Čepí","4 296,15","4 162,14","250,00","198,23","1 009,31","771,16","367,92","2,00","411,00","49,00","71,00","143,00","119,00","15,00","14,00","137,00","11,00","617,92","5 749,45","20,00","444,01","5 131,53","5 305,44","10,00","8,00","6,00","Pardubický kraj","PARDUBICE","Pardubice","1,00","16,00"
"Čepřovice","9 518,05","1 889,14","391,81","6,65","648,16","129,91","8 053,62","0,00","182,00","28,00","23,00","56,00","51,00","18,00","6,00","50,00","9,00","8 445,43","10 471,13","3,00","304,92","2 025,70","10 166,21","8,00","4,00","1,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA
"Čeradice","3 083,16","3 209,75","0,00","60,00","1 071,63","97,27","279,87","1,00","303,00","31,00","59,00","95,00","95,00","15,00","8,00","54,00","26,00","279,87","3 646,89","14,00","-507,90","3 367,02","4 154,79","14,00","2,00","4,00","Ústecký kraj","ŽATEC","Louny",NA,NA
"Čerčany","27 774,45","22 501,67","6 924,94","7 519,13","14 366,97","4 483,57","6 605,26","8,00","2 718,00","387,00","426,00","839,00","824,00","119,00","123,00","744,00","72,00","13 530,20","48 034,57","84,00","5 893,15","34 504,37","42 141,42","69,00","21,00","36,00","Středočeský kraj","BENEŠOV","Benešov","1,00","14,00"
"Cerekvice nad Bystřicí","8 949,08","6 725,98","0,00","58,91","1 345,64","1 168,77","1 916,23","4,00","829,00","107,00","149,00","257,00","262,00","28,00","26,00","172,00","55,00","1 916,23","9 869,89","23,00","-424,84","7 953,66","10 294,73","16,00","10,00","7,00","Královéhradecký kraj","HOŘICE","Jičín",NA,NA
"Cerekvice nad Loučnou","7 890,54","6 875,59","750,00","18,45","6 475,12","1 612,52","1 749,75","3,00","865,00","107,00","105,00","307,00","289,00","31,00","26,00","179,00","39,00","2 499,75","11 006,31","23,00","-3 359,28","8 506,56","14 365,60","18,00","5,00","7,00","Pardubický kraj","LITOMYŠL","Svitavy",NA,NA
"Cerekvička-Rosice","1 822,97","1 414,99","0,00","12,94","0,00","555,90","271,79","1,00","124,00","18,00","15,00","42,00","31,00","10,00","8,00","31,00","11,00","271,79","2 255,62","0,00","432,65","1 983,83","1 822,97","0,00","3,00","0,00","Vysočina","JIHLAVA","Jihlava",NA,NA
"Cerhenice","19 930,85","13 019,97","20 064,32","8 440,09","31 446,29","5 854,00","5 668,74","6,00","1 633,00","244,00","251,00","513,00","512,00","55,00","58,00","295,00","106,00","25 733,06","53 047,12","56,00","1 669,98","27 314,06","51 377,14","39,00","27,00","29,00","Středočeský kraj","KOLÍN","Kolín",NA,NA
"Cerhonice","3 140,05","1 980,72","661,37","1,23","0,00","274,90","1 773,22","0,00","135,00","36,00","19,00","31,00","30,00","10,00","9,00","39,00","5,00","2 434,59","4 691,44","2,00","1 551,39","2 256,85","3 140,05","7,00","3,00","1,00","Jihočeský kraj","PÍSEK","Písek",NA,NA
"Cerhovice","8 450,15","9 043,48","2 284,49","375,43","15 580,89","1 180,62","1 675,96","9,00","1 049,00","191,00","169,00","325,00","295,00","33,00","36,00","248,00","33,00","3 960,45","14 559,98","34,00","-9 471,06","10 599,53","24 031,04","14,00","7,00","11,00","Středočeský kraj","HOŘOVICE","Beroun",NA,NA
"Čermákovice","738,63","1 128,54","200,00","0,00","279,75","114,34","142,81","0,00","92,00","26,00","9,00","29,00","27,00","1,00","0,00","18,00","4,00","342,81","1 585,69","4,00","567,31","1 242,88","1 018,38","3,00","1,00","0,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo",NA,NA
"Čermná","1 908,80","1 742,45","100,00","437,64","1 135,79","409,51","202,64","0,00","226,00","46,00","26,00","70,00","61,00","13,00","10,00","39,00","11,00","302,64","2 892,24","6,00","-152,35","2 589,60","3 044,59","4,00","4,00","2,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice",NA,NA
"Čermná","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Královéhradecký kraj","TRUTNOV","Trutnov",NA,NA
"Čermná nad Orlicí","10 058,56","7 769,88","0,00","1 033,01","2 813,17","2 314,50","2 736,11","1,00","1 036,00","176,00","154,00","334,00","308,00","30,00","34,00","223,00","53,00","2 736,11","13 853,50","20,00","981,77","11 117,39","12 871,73","19,00","17,00","12,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA,NA
"Čermná ve Slezsku","4 892,68","3 147,45","0,00","38,62","7,00","1 374,10","335,71","0,00","361,00","33,00","73,00","119,00","113,00","11,00","12,00","49,00","56,00","335,71","4 895,88","12,00","-3,80","4 560,17","4 899,68","9,00","0,00","2,00","Moravskoslezský kraj","VÍTKOV","Opava",NA,NA
"Černá","2 365,86","2 850,49","0,00","0,00","26,40","695,34","221,93","1,00","322,00","46,00","58,00","102,00","91,00","15,00","10,00","56,00","21,00","221,93","3 767,76","1,00","1 375,50","3 545,83","2 392,26","7,00","4,00","4,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA
"Černá Hora","20 101,17","17 325,94","15 208,87","7 487,23","20 189,15","3 346,37","3 373,85","9,00","1 961,00","375,00","289,00","586,00","597,00","61,00","53,00","374,00","91,00","18 582,72","46 742,26","58,00","6 451,94","28 159,54","40 290,32","37,00","26,00","22,00","Jihomoravský kraj","BLANSKO","Blansko","1,00","14,00"
"Černá u Bohdanče","2 221,03","2 661,98","0,00","308,76","2 851,98","202,94","130,33","40,00","306,00","42,00","44,00","96,00","105,00","10,00","9,00","59,00","11,00","130,33","3 304,01","20,00","-1 769,00","3 173,68","5 073,02","2,00","1,00","4,00","Pardubický kraj","PARDUBICE","Pardubice",NA,NA
"Černá v Pošumaví","18 342,32","12 382,75","39,00","2 977,38","9 345,62","8 713,93","1 675,62","8,00","831,00","104,00","123,00","288,00","248,00","34,00","34,00","244,00","63,00","1 714,62","25 788,68","26,00","-1 899,26","24 074,06","27 687,94","19,00","4,00","11,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov",NA,NA
"Černá Voda","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník",NA,NA
"Černava","3 186,92","2 339,66","0,00","3,97","0,00","970,93","519,82","3,00","300,00","37,00","44,00","104,00","88,00","12,00","15,00","67,00","15,00","519,82","3 834,38","7,00","647,46","3 314,56","3 186,92","2,00","3,00","4,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary",NA,NA
"Černčice","4 368,55","3 366,55","0,00","21,00","229,00","625,59","528,15","2,00","480,00","69,00","80,00","150,00","155,00","12,00","14,00","81,00","16,00","528,15","4 541,29","19,00","-56,26","4 013,14","4 597,55","10,00","4,00","5,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod",NA,NA
"Černčice","11 017,75","10 571,99","13 582,02","12,45","7 160,32","1 264,48","2 499,13","1,00","1 476,00","199,00","203,00","507,00","481,00","42,00","44,00","287,00","79,00","16 081,15","27 930,07","36,00","9 752,00","11 848,92","18 178,07","50,00","23,00","19,00","Ústecký kraj","LOUNY","Louny",NA,NA
"Černé Voděrady","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Středočeský kraj","ŘÍČANY","Kolín",NA,NA
"Černěves","1 694,18","1 888,21","0,00","0,00","15,60","79,20","207,02","0,00","218,00","23,00","36,00","71,00","70,00","8,00","10,00","64,00","10,00","207,02","2 174,43","6,00","464,65","1 967,41","1 709,78","5,00","0,00","5,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,NA
"Černíč","1 585,87","1 392,50","2 757,47","0,00","131,15","912,85","955,47","0,00","138,00","30,00","18,00","47,00","34,00","2,00","7,00","29,00","6,00","3 712,94","6 018,29","2,00","4 301,27","2 305,35","1 717,02","2,00","1,00","4,00","Vysočina","TELČ","Jihlava",NA,NA
"Černíkov","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Plzeňský kraj","KLATOVY","Domažlice",NA,NA
"Černíkovice","6 321,11","6 462,86","183,30","772,92","1 656,45","809,30","952,48","4,00","710,00","108,00","104,00","237,00","203,00","35,00","23,00","171,00","24,00","1 135,78","9 180,86","45,00","1 203,30","8 045,08","7 977,56","20,00","5,00","8,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou","1,00","7,00"
"Černíkovice","935,89","783,43","0,00","0,80","0,00","129,94","218,89","0,00","76,00","11,00","7,00","23,00","30,00","1,00","4,00","19,00","4,00","218,89","1 133,06","0,00","197,17","914,17","935,89","0,00","2,00","0,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA,NA
"Černíky","1 507,91","1 327,04","0,00","186,00","0,00","33,50","95,60","1,00","100,00","20,00","14,00","21,00","34,00","6,00","5,00","33,00","12,00","95,60","1 642,14","4,00","134,23","1 546,54","1 507,91","2,00","1,00","0,00","Středočeský kraj","ČESKÝ BROD","Nymburk",NA,NA
"Černilov","18 088,21","20 274,25","18 426,05","96,56","13 629,89","1 946,78","4 025,67","3,00","2 438,00","261,00","409,00","811,00","814,00","73,00","70,00","583,00","92,00","22 451,72","44 769,31","51,00","13 051,21","22 317,59","31 718,10","58,00","14,00","16,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA,NA
"Černín","2 276,95","2 461,18","140,00","175,19","541,42","312,29","115,81","0,00","133,00","28,00","9,00","48,00","36,00","7,00","5,00","33,00","10,00","255,81","3 204,47","1,00","386,10","2 948,66","2 818,37","1,00","2,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA
"Černíny","5 234,41","4 650,67","2 964,83","6,70","973,53","627,17","622,81","1,00","381,00","87,00","46,00","114,00","94,00","24,00","16,00","73,00","22,00","3 587,64","8 872,18","22,00","2 664,24","5 284,54","6 207,94","11,00","7,00","3,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA,NA
"Černiv","1 641,77","1 410,11","0,00","0,00","228,11","1 385,17","188,43","0,00","150,00","14,00","20,00","53,00","49,00","5,00","9,00","32,00","15,00","188,43","2 983,71","3,00","1 113,83","2 795,28","1 869,88","1,00","2,00","0,00","Ústecký kraj","LOVOSICE","Litoměřice",NA,NA
"Černolice","5 534,92","4 921,10","0,00","1 480,90","346,57","234,42","110,64","6,00","295,00","27,00","62,00","98,00","88,00","9,00","11,00","89,00","10,00","110,64","6 747,06","21,00","865,57","6 636,42","5 881,49","4,00","2,00","4,00","Středočeský kraj","ČERNOŠICE","Praha-západ",NA,NA
"Černošice","318 091,63","90 696,09","13 423,76","12 600,73","44 066,25","40 231,10","200 375,18","37,00","6 379,00","952,00","1 280,00","1 773,00","1 907,00","229,00","238,00","2 042,00","95,00","213 798,94","357 326,86","291,00","-4 831,02","143 527,92","362 157,88","121,00","51,00","81,00","Středočeský kraj","ČERNOŠICE","Praha-západ","1,00","39,00"
"Černošín","24 012,63","21 515,87","1 988,68","18 118,40","22 552,31","4 192,38","2 578,12","1,00","1 196,00","169,00","175,00","391,00","364,00","43,00","54,00","223,00","87,00","4 566,80","48 393,45","27,00","1 828,51","43 826,65","46 564,94","48,00","11,00","16,00","Plzeňský kraj","STŘÍBRO","Tachov","2,00","24,00"
"Černotín","7 814,48","6 164,90","1 020,00","797,37","13 091,82","1 212,85","1 844,84","1,00","752,00","102,00","104,00","246,00","248,00","28,00","24,00","128,00","42,00","2 864,84","11 039,96","21,00","-9 866,34","8 175,12","20 906,30","9,00","5,00","4,00","Olomoucký kraj","HRANICE","Přerov",NA,NA
"Černouček","1 250,79","2 054,73","481,59","225,00","1 097,21","832,99","3 786,61","2,00","279,00","39,00","39,00","109,00","75,00","11,00","6,00","60,00","11,00","4 268,20","7 380,92","8,00","5 032,92","3 112,72","2 348,00","5,00","1,00","1,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,NA
"Černousy","5 548,74","3 102,21","48,22","12,86","182,89","1 167,68","1 573,34","1,00","353,00","40,00","48,00","120,00","99,00","23,00","23,00","60,00","42,00","1 621,56","5 904,31","22,00","172,68","4 282,75","5 731,63","16,00","2,00","5,00","Liberecký kraj","FRÝDLANT","Liberec",NA,NA
"Černov","889,15","959,81","97,50","0,00","143,06","272,94","209,36","0,00","108,00","22,00","7,00","40,00","32,00","4,00","3,00","28,00","6,00","306,86","1 539,61","7,00","507,40","1 232,75","1 032,21","11,00","0,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA
"Černovice","7 605,91","5 411,12","0,00","2 269,79","2 653,58","1 805,18","221,40","0,00","522,00","70,00","73,00","172,00","164,00","23,00","20,00","105,00","30,00","221,40","9 707,49","11,00","-552,00","9 486,09","10 259,49","14,00","5,00","7,00","Ústecký kraj","CHOMUTOV","Chomutov",NA,NA
"Černovice","2 003,03","1 869,12","10 300,00","79,02","10 413,83","741,77","128,10","0,00","181,00","64,00","23,00","40,00","35,00","6,00","13,00","28,00","7,00","10 428,10","13 118,01","14,00","701,15","2 689,91","12 416,86","4,00","24,00","2,00","Plzeňský kraj","STOD","Domažlice",NA,NA
"Čerňovice","4 527,99","2 324,59","0,00","17,36","105,00","1 541,35","1 111,81","0,00","134,00","19,00","15,00","48,00","42,00","6,00","4,00","30,00","6,00","1 111,81","4 995,11","7,00","362,12","3 883,30","4 632,99","5,00","1,00","5,00","Plzeňský kraj","NÝŘANY","Plzeň-sever",NA,NA
"Černovice","4 644,96","2 981,83","0,00","1 006,02","3 189,75","561,81","783,07","3,00","365,00","54,00","74,00","112,00","99,00","17,00","9,00","69,00","23,00","783,07","5 332,73","12,00","-2 501,98","4 549,66","7 834,71","4,00","4,00","5,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA
"Černovice","26 947,27","15 698,02","0,00","34,19","288,88","9 250,68","1 938,28","2,00","1 833,00","338,00","239,00","583,00","544,00","65,00","64,00","377,00","71,00","1 938,28","26 921,17","40,00","-314,98","24 982,89","27 236,15","29,00","23,00","15,00","Vysočina","PELHŘIMOV","Pelhřimov","1,00","13,00"
"Černožice","9 859,17","9 601,04","0,00","170,99","1 138,89","2 310,48","528,13","1,00","1 175,00","193,00","166,00","393,00","347,00","40,00","36,00","238,00","59,00","528,13","12 610,64","42,00","1 612,53","12 082,51","10 998,11","57,00","10,00","12,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA,NA
"Černuc","9 172,86","11 319,65","0,00","8,66","1 621,00","614,10","798,03","5,00","998,00","142,00","156,00","305,00","316,00","42,00","37,00","182,00","55,00","798,03","12 740,44","40,00","1 946,58","11 942,41","10 793,86","35,00","5,00","11,00","Středočeský kraj","SLANÝ","Kladno",NA,NA
"Černvír","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA,NA
"Černý Důl","11 657,05","7 552,36","7 923,13","11 411,60","7 843,48","1 973,83","1 122,84","8,00","760,00","118,00","109,00","243,00","217,00","40,00","33,00","280,00","36,00","9 045,97","29 983,76","22,00","10 483,23","20 937,79","19 500,53","19,00","8,00","8,00","Královéhradecký kraj","VRCHLABÍ","Trutnov",NA,NA
"Černýšovice","1 325,27","1 223,43","0,00","0,00","124,07","246,24","201,73","0,00","75,00","24,00","6,00","21,00","18,00","3,00","3,00","20,00","6,00","201,73","1 671,40","5,00","222,06","1 469,67","1 449,34","2,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA
"Červená Hora","1 507,55","1 331,33","0,00","0,00","0,00","172,76","211,41","0,00","206,00","27,00","35,00","66,00","66,00","7,00","5,00","37,00","10,00","211,41","1 715,50","6,00","207,95","1 504,09","1 507,55","2,00","3,00","4,00","Královéhradecký kraj","NÁCHOD","Náchod",NA,NA
"Červená Lhota","1 528,03","1 729,33","0,00","9,96","608,25","370,57","211,62","0,00","181,00","33,00","20,00","68,00","48,00","5,00","7,00","41,00","8,00","211,62","2 321,48","1,00","185,20","2 109,86","2 136,28","0,00","3,00","2,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Červená Řečice","7 910,43","9 432,87","714,33","1 215,88","3 565,58","518,29","943,32","1,00","972,00","201,00","125,00","305,00","264,00","40,00","37,00","219,00","51,00","1 657,65","12 824,69","22,00","1 348,68","11 167,04","11 476,01","32,00","4,00","9,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA
"Červená Třemešná","782,00","1 443,63","0,00","0,00","62,50","165,55","127,92","0,00","159,00","21,00","29,00","50,00","47,00","7,00","5,00","37,00","12,00","127,92","1 737,10","3,00","892,60","1 609,18","844,50","4,00","1,00","2,00","Královéhradecký kraj","HOŘICE","Jičín",NA,NA
"Červená Voda","33 200,77","28 389,88","7 870,05","5 047,82","15 559,40","8 210,00","4 542,44","5,00","3 096,00","508,00","472,00","991,00","926,00","106,00","93,00","607,00","167,00","12 412,49","54 060,19","80,00","5 300,17","41 647,70","48 760,02","71,00","61,00","41,00","Pardubický kraj","KRÁLÍKY","Ústí nad Orlicí",NA,NA
"Červené Janovice","6 675,15","6 474,62","11 031,13","15,20","14 922,72","573,52","1 435,28","2,00","711,00","109,00","102,00","228,00","211,00","29,00","32,00","143,00","45,00","12 466,41","19 529,75","10,00","-2 068,12","7 063,34","21 597,87","18,00","10,00","7,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA,NA
"Červené Pečky","13 687,73","19 313,40","11 536,47","3 526,85","22 888,04","1 486,81","1 433,54","7,00","1 763,00","282,00","263,00","538,00","550,00","64,00","66,00","377,00","102,00","12 970,01","37 297,07","69,00","721,30","24 327,06","36 575,77","48,00","16,00","13,00","Středočeský kraj","KOLÍN","Kolín",NA,NA
"Červené Poříčí","1 585,67","1 901,94","1 990,70","12,48","533,88","948,84","243,32","0,00","236,00","43,00","34,00","73,00","69,00","10,00","7,00","49,00","18,00","2 234,02","5 097,28","6,00","2 977,73","2 863,26","2 119,55","5,00","1,00","2,00","Plzeňský kraj","KLATOVY","Klatovy","1,00","7,00"
