"obce","Počet obyvatel dle Sčítání lidu 1991","kraj","orp","okres"
"Bítov","171,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","415,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","407,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","328,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","94,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","20 783,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","55,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","569,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","6 944,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","381,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","665,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 227,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","498,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","224,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","555,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","292,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","134,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","225,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","79,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","157,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","296,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 078,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","279,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","281,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 047,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","569,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","353,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 225,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 591,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","969,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","207,00","Ústecký kraj","LOUNY","Louny"
"Blučina","1 918,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","35,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","736,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","922,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","253,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","371,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","880,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","1 760,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","189,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","221,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","507,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","263,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","146,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","308,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","820,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","229,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","1 062,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","254,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","446,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","208,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","1 395,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","191,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","313,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","23 686,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","60,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","245,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","204,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","2 199,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","125,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","114,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","470,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 499,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","109,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","430,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","398,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","793,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","367,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","461,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","2 468,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","603,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","1 397,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","912,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","80,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","701,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","387,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","166,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","229,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","4 858,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","4 177,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","171,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","565,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","784,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","584,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","235,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","61,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","68,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","3 787,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","179,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","317,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","410,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","544,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","226,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","151,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","194,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","97,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","136,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","991,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
