"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Javorník","6 763,82","5 982,55","752,00","89,92","1 908,15","814,48","875,72","206,00","107,00","1,00","258,00","325,00","191,00","720,00","4,00","690,00","110,00","0,00","0,00","0,00","0,00","0,00","44,00","13,00","238,00","130,00","155,00","103,00","234,00","227,00","21,00","25,00","10,00","20,00","115,00","89,00","15,00","104,00","18,00","131,00","189,00","73,00","264,00","1 627,72","8 514,67","9,00","-157,23","6 886,95","8 671,90","20,00","3,00","4,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Javorník","1 216,42","1 310,16","0,00","0,00","241,56","846,78","105,76","38,00","19,00","0,00","51,00","58,00","35,00","125,00","0,00","114,00","24,00","0,00","0,00","0,00","0,00","0,00","6,00","0,00","41,00","29,00","27,00","10,00","40,00","43,00","3,00","5,00","1,00",NA,"32,00","10,00","8,00","31,00","2,00","27,00","35,00","8,00","54,00","105,76","2 262,70","0,00","804,74","2 156,94","1 457,96","2,00","0,00","2,00","Středočeský kraj","VLAŠIM","Benešov"
"Javorník","2 080,36","2 116,97","120,00","0,00","250,40","150,27","280,72","93,00","40,00","0,00","136,00","114,00","80,00","262,00","0,00","247,00","40,00","0,00","0,00","0,00","0,00","0,00","16,00","0,00","83,00","59,00","33,00","44,00","68,00","89,00","9,00","12,00","4,00","3,00","44,00","35,00","6,00","42,00","11,00","44,00","80,00","13,00","104,00","400,72","2 667,94","9,00","337,21","2 267,24","2 330,73","5,00","3,00","2,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Javůrek","2 488,91","2 346,79","0,00","0,00","94,96","397,61","277,90","97,00","47,00","0,00","114,00","120,00","87,00","257,00","1,00","256,00","52,00","0,00","0,00","0,00","0,00","0,00","13,00","1,00","81,00","62,00","51,00","31,00","77,00","75,00","9,00","13,00","6,00","12,00","43,00","20,00","8,00","64,00","6,00","66,00","86,00","15,00","110,00","277,90","3 022,28","9,00","438,45","2 744,40","2 583,83","11,00","0,00","0,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Jedlá","589,37","811,65","0,00","0,00","515,04","75,52","207,93","29,00","13,00","0,00","47,00","40,00","29,00","80,00","0,00","80,00","16,00","0,00","0,00","0,00","1,00","0,00","3,00","0,00","25,00","20,00","14,00","13,00","20,00","26,00","3,00","2,00","2,00","18,00","18,00","5,00","6,00","13,00","5,00","17,00","29,00","3,00","36,00","207,93","1 095,09","2,00","-9,32","887,17","1 104,41","3,00","1,00","1,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Jedlany","1 065,47","754,29","0,00","0,00","1 976,79","15,88","260,44","24,00","11,00","0,00","50,00","26,00","22,00","79,00","0,00","70,00","21,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","23,00","18,00","8,00","14,00","18,00","23,00","2,00","1,00","5,00",NA,"12,00","7,00","2,00","11,00","3,00","18,00","22,00","3,00","26,00","260,44","1 030,60","3,00","-2 011,68","770,17","3 042,27","0,00","0,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Jedlí","6 001,93","5 265,63","115,56","150,03","422,15","668,19","700,23","237,00","107,00","1,00","245,00","321,00","185,00","689,00","1,00","697,00","143,00","0,00","0,00","0,00","0,00","0,00","47,00","7,00","275,00","131,00","147,00","78,00","208,00","219,00","19,00","22,00","7,00","47,00","113,00","120,00","37,00","97,00","18,00","79,00","177,00","26,00","289,00","815,79","6 899,62","12,00","475,59","6 083,85","6 424,03","12,00","10,00","6,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Jedlová","9 772,37","8 739,86","1 525,00","436,50","2 275,46","1 123,78","561,64","363,00","159,00","2,00","383,00","455,00","287,00","1 023,00","5,00","992,00","149,00","2,00","0,00","0,00","1,00","3,00","26,00","3,00","395,00","152,00","237,00","144,00","310,00","333,00","41,00","46,00","27,00","38,00","154,00","165,00","23,00","131,00","33,00","183,00","275,00","50,00","410,00","2 086,64","12 386,77","26,00","338,97","10 300,14","12 047,81","16,00","16,00","10,00","Pardubický kraj","POLIČKA","Svitavy"
"Jedomělice","2 258,66","2 838,04","482,11","0,00","17,54","86,67","333,83","142,00","78,00","3,00","142,00","190,00","122,00","385,00","3,00","374,00","47,00","0,00","0,00","0,00","2,00","5,00","17,00","0,00","109,00","88,00","78,00","60,00","116,00","136,00","11,00","15,00","12,00","6,00","87,00","42,00","13,00","83,00","15,00","83,00","118,00","17,00","176,00","815,94","3 740,64","25,00","1 464,45","2 924,71","2 276,19","4,00","5,00","4,00","Středočeský kraj","SLANÝ","Kladno"
"Jedousov","1 040,34","1 319,96","0,00","41,82","226,59","63,30","64,34","52,00","25,00","2,00","66,00","72,00","47,00","144,00","3,00","135,00","22,00","0,00","0,00","0,00","0,00","0,00","4,00","1,00","52,00","23,00","28,00","23,00","41,00","48,00","5,00","5,00","3,00","13,00","27,00","21,00","4,00","28,00","6,00","49,00","47,00","7,00","65,00","64,34","1 489,43","3,00","222,53","1 425,08","1 266,90","5,00","3,00","3,00","Pardubický kraj","PŘELOUČ","Pardubice"
