"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Litovany","1 158,28","1 510,08","2 143,31","96,50","2 515,37","121,25","135,79","54,00","20,00","0,00","91,00","46,00","54,00","132,00","0,00","130,00","32,00","0,00","0,00","0,00","0,00","0,00","6,00","1,00","52,00","19,00","33,00","12,00","40,00","35,00","6,00","7,00","7,00","1,00","16,00","7,00","1,00","15,00","6,00","21,00","54,00","12,00","37,00","2 279,10","4 006,93","4,00","333,29","1 727,83","3 673,64","3,00","3,00","1,00","Vysočina","TŘEBÍČ","Třebíč"
"Litovel","191 841,34","105 141,50","91 789,88","581,00","178 383,65","41 135,61","81 737,18","3 706,00","1 920,00","19,00","2 065,00","4 814,00","1 822,00","9 921,00","33,00","9 719,00","1 639,00","7,00","6,00","0,00","33,00","0,00","809,00","64,00","3 124,00","2 308,00","1 493,00","1 395,00","2 975,00","3 165,00","385,00","362,00","254,00","1 227,00","1 151,00","1 492,00","160,00","2 032,00","296,00","1 964,00","1 597,00","448,00","4 317,00","173 527,06","320 385,11","151,00","-49 839,84","146 858,11","370 224,94","158,00","101,00","96,00","Olomoucký kraj","LITOVEL","Olomouc"
"Litultovice","9 136,02","6 761,51","419,70","0,68","996,98","606,25","2 452,16","284,00","145,00","4,00","226,00","380,00","199,00","840,00","1,00","821,00","123,00","0,00","1,00","0,00","0,00","0,00","52,00","3,00","278,00","170,00","129,00","161,00","245,00","253,00","30,00","28,00","11,00","44,00","114,00","101,00","36,00","150,00","18,00","143,00","192,00","38,00","345,00","2 871,86","10 240,28","45,00","107,37","7 368,44","10 132,91","29,00","7,00","11,00","Moravskoslezský kraj","OPAVA","Opava"
"Litvínov","530 785,67","302 072,50","14 103,08","8 484,18","56 595,88","60 294,38","207 370,01","11 078,00","5 156,00","5,00","2 292,00","11 040,00","2 159,00","25 776,00","280,00","24 905,00","4 242,00","131,00","53,00","34,00","23,00","135,00","1 614,00","497,00","7 356,00","4 870,00","4 810,00","3 893,00","7 455,00","8 032,00","1 108,00","1 046,00","1 690,00","2 921,00","2 177,00","3 128,00","53,00","4 314,00","623,00","5 187,00","1 161,00","2 330,00","9 221,00","221 473,09","592 324,14","574,00","4 942,68","370 851,06","587 381,46","1 008,00","346,00","272,00","Ústecký kraj","LITVÍNOV","Most"
"Litvínovice","13 161,65","18 508,51","450,00","33,12","5 204,51","1 547,67","958,35","737,00","519,00","26,00","692,00","1 149,00","644,00","2 224,00","5,00","2 215,00","217,00","6,00","0,00","1,00","4,00","0,00","393,00","14,00","462,00","578,00","255,00","399,00","757,00","731,00","61,00","59,00","47,00","232,00","507,00","215,00","9,00","690,00","84,00","618,00","633,00","57,00","1 089,00","1 408,35","21 497,64","74,00","3 131,56","20 089,30","18 366,08","41,00","10,00","25,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Lkáň","1 651,96","1 724,92","0,00","49,55","349,46","116,09","261,73","60,00","29,00","0,00","80,00","85,00","56,00","171,00","4,00","179,00","20,00","0,00","0,00","0,00","1,00","0,00","4,00","4,00","62,00","19,00","41,00","24,00","52,00","65,00","4,00","6,00","17,00",NA,"23,00","23,00","8,00","21,00","4,00","23,00","55,00","13,00","70,00","261,73","2 152,28","6,00","150,91","1 890,56","2 001,37","14,00","3,00","0,00","Ústecký kraj","LOVOSICE","Litoměřice"
"Lnáře","9 199,83","6 536,95","253,66","42,80","1 300,65","1 359,17","1 694,76","282,00","109,00","0,00","267,00","364,00","180,00","728,00","1,00","721,00","107,00","0,00","1,00","0,00","4,00","0,00","32,00","4,00","289,00","151,00","116,00","93,00","212,00","262,00","24,00","30,00","23,00","99,00","91,00","110,00","47,00","111,00","17,00","149,00","155,00","43,00","330,00","1 948,42","9 887,32","8,00","-613,14","7 938,92","10 500,46","25,00","7,00","3,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Lobeč","1 708,71","1 586,61","0,00","0,00","0,00","382,40","84,54","57,00","25,00","0,00","75,00","63,00","46,00","136,00","1,00","139,00","24,00","0,00","0,00","0,00","0,00","0,00","10,00","5,00","36,00","20,00","34,00","32,00","29,00","45,00","5,00","1,00","5,00","1,00","24,00","14,00","7,00","17,00","3,00","36,00","41,00","3,00","58,00","84,54","2 053,54","2,00","344,84","1 969,01","1 708,70","6,00","2,00","1,00","Středočeský kraj","MĚLNÍK","Mělník"
"Lobendava","5 619,32","3 731,70","0,00","5,93","93,02","2 488,13","335,19","107,00","39,00","0,00","163,00","146,00","82,00","353,00","43,00","329,00","32,00","3,00","1,00","2,00","1,00","0,00","2,00","10,00","89,00","57,00","84,00","44,00","96,00","141,00","17,00","23,00","15,00","88,00","48,00","40,00","6,00","53,00","5,00","41,00","72,00","40,00","108,00","335,19","6 560,93","5,00","848,64","6 225,76","5 712,29","9,00","0,00","4,00","Ústecký kraj","RUMBURK","Děčín"
"Lobodice","9 091,38","5 577,04","361,18","59,90","983,10","1 083,36","2 150,32","242,00","112,00","1,00","255,00","343,00","210,00","729,00","4,00","700,00","118,00","1,00","0,00","0,00","0,00","0,00","36,00","11,00","267,00","121,00","138,00","91,00","218,00","259,00","16,00","27,00","36,00","68,00","94,00","57,00","13,00","110,00","49,00","116,00","202,00","77,00","279,00","2 511,50","9 231,78","13,00","-842,63","6 720,30","10 074,42","6,00","5,00","4,00","Olomoucký kraj","PŘEROV","Přerov"
"Ločenice","5 834,60","5 119,96","400,00","286,60","1 165,09","1 444,15","297,01","240,00","123,00","0,00","300,00","294,00","202,00","628,00","2,00","616,00","92,00","0,00","0,00","0,00","0,00","0,00","23,00","4,00","227,00","141,00","99,00","104,00","174,00","200,00","31,00","27,00","13,00","26,00","115,00","83,00","28,00","101,00","28,00","141,00","197,00","17,00","274,00","697,01","7 547,72","33,00","548,07","6 850,71","6 999,66","11,00","11,00","7,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Lochenice","2 942,69","4 296,65","462,00","0,00","467,51","425,21","118,45","192,00","117,00","1,00","196,00","282,00","168,00","594,00","3,00","573,00","79,00","0,00","0,00","0,00","4,00","0,00","46,00","8,00","176,00","125,00","99,00","104,00","179,00","193,00","19,00","20,00","17,00","8,00","95,00","58,00","18,00","129,00","28,00","126,00","165,00","27,00","259,00","580,45","5 302,31","14,00","1 892,16","4 721,86","3 410,15","9,00","4,00","5,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Lochousice","1 908,28","1 772,69","0,00","2,79","94,82","425,29","326,95","31,00","15,00","0,00","45,00","55,00","30,00","112,00","1,00","103,00","8,00","0,00","0,00","0,00","1,00","0,00","4,00","2,00","37,00","14,00","24,00","15,00","37,00","37,00","4,00","11,00","7,00","2,00","18,00","15,00","3,00","18,00","5,00","30,00","30,00","7,00","47,00","326,95","2 527,73","3,00","524,66","2 200,77","2 003,07","5,00","1,00","0,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Lochovice","8 431,90","9 674,85","15 193,90","2 401,73","22 644,89","997,05","907,90","405,00","191,00","7,00","443,00","515,00","331,00","1 153,00","18,00","1 136,00","180,00","0,00","0,00","0,00","0,00","0,00","66,00","14,00","374,00","238,00","189,00","203,00","322,00","365,00","44,00","39,00","32,00","79,00","178,00","150,00","17,00","202,00","31,00","209,00","308,00","40,00","476,00","16 101,80","29 175,42","21,00","-1 901,32","13 073,63","31 076,74","17,00","10,00","17,00","Středočeský kraj","HOŘOVICE","Beroun"
"Loděnice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","POHOŘELICE","Brno-venkov"
"Loděnice","16 284,87","14 725,40","37 983,85","2 579,75","55 115,40","1 540,17","3 563,65","579,00","320,00","10,00","418,00","883,00","362,00","1 700,00","5,00","1 717,00","222,00","4,00","2,00","0,00","13,00","58,00","181,00","18,00","443,00","423,00","277,00","276,00","528,00","561,00","57,00","56,00","66,00","658,00","284,00","199,00","4,00","453,00","54,00","433,00","325,00","53,00","826,00","41 547,50","60 392,81","49,00","-11 007,37","18 845,32","71 400,18","42,00","14,00","16,00","Středočeský kraj","BEROUN","Beroun"
"Lodhéřov","8 120,95","5 757,59","1 827,98","428,94","3 473,69","3 598,42","425,87","227,00","86,00","4,00","255,00","292,00","189,00","647,00","4,00","623,00","82,00","1,00","0,00","1,00","0,00","0,00","18,00","6,00","235,00","91,00","140,00","98,00","188,00","220,00","32,00","27,00","25,00","9,00","80,00","53,00","33,00","92,00","36,00","116,00","179,00","34,00","269,00","2 253,85","12 038,80","25,00","444,19","9 784,95","11 594,61","12,00","6,00","6,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Lodín","11 479,75","22 316,83","0,00","254,76","4 428,23","1 092,82","71,57","122,00","72,00","3,00","128,00","177,00","95,00","356,00","2,00","361,00","44,00","1,00","0,00","0,00","0,00","0,00","13,00","2,00","123,00","68,00","66,00","56,00","129,00","108,00","8,00","11,00","15,00","15,00","52,00","53,00","8,00","65,00","14,00","69,00","91,00","16,00","170,00","71,57","23 735,97","13,00","7 828,02","23 664,41","15 907,95","15,00","2,00","2,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Loket","5 806,76","6 468,36","10 353,65","56,43","17 402,18","4 416,99","691,38","182,00","96,00","5,00","259,00","266,00","173,00","556,00","1,00","575,00","99,00","1,00","0,00","0,00","0,00","0,00","34,00","0,00","211,00","117,00","103,00","79,00","167,00","181,00","15,00","15,00","14,00","36,00","107,00","86,00","25,00","93,00","13,00","119,00","168,00","17,00","243,00","11 045,03","21 986,79","7,00","-1 222,17","10 941,78","23 208,96","5,00","4,00","3,00","Středočeský kraj","VLAŠIM","Benešov"
"Loket","53 527,58","26 530,32","5 398,31","1 662,98","3 289,20","15 845,83","8 282,87","1 158,00","640,00","20,00","511,00","1 539,00","429,00","3 114,00","14,00","2 978,00","309,00","69,00","5,00","1,00","4,00","6,00","222,00","49,00","834,00","701,00","491,00","514,00","1 065,00","1 044,00","85,00","97,00","132,00","166,00","561,00","362,00","20,00","712,00","84,00","783,00","326,00","167,00","1 356,00","13 681,18","57 720,27","113,00","903,55","44 039,13","56 816,73","94,00","26,00","26,00","Karlovarský kraj","SOKOLOV","Sokolov"
"Lom","37 465,09","29 410,38","0,00","1 112,40","1 195,86","3 208,26","4 000,15","1 453,00","716,00","11,00","889,00","1 735,00","825,00","3 867,00","24,00","3 730,00","486,00","10,00","4,00","1,00","3,00","8,00","206,00","36,00","1 211,00","653,00","771,00","628,00","1 156,00","1 312,00","147,00","138,00","201,00","139,00","692,00","445,00","17,00","685,00","142,00","736,00","690,00","350,00","1 462,00","4 000,15","37 731,16","179,00","-929,67","33 731,04","38 660,83","150,00","39,00","46,00","Ústecký kraj","LITVÍNOV","Most"
"Lom","1 032,35","1 459,63","84,00","0,00","321,72","484,69","60,88","48,00","32,00","1,00","62,00","74,00","45,00","152,00","1,00","150,00","35,00","1,00","0,00","0,00","0,00","0,00","8,00","0,00","51,00","32,00","28,00","21,00","39,00","51,00","4,00","2,00","3,00","26,00","30,00","23,00","7,00","26,00","8,00","48,00","45,00","8,00","67,00","144,88","2 089,20","4,00","735,13","1 944,32","1 354,07","3,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Lom","1 472,46","1 263,09","0,00","0,00","4,43","96,48","223,49","39,00","14,00","0,00","51,00","44,00","33,00","112,00","0,00","100,00","26,00","0,00","0,00","0,00","0,00","0,00","3,00","1,00","37,00","21,00","25,00","8,00","32,00","34,00","9,00","3,00","4,00",NA,"18,00","6,00","6,00","15,00","4,00","41,00","32,00","5,00","39,00","223,49","1 583,05","3,00","106,17","1 359,57","1 476,88","7,00","6,00","0,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Lom u Tachova","10 222,22","4 545,94","0,00","10,12","3 613,35","5 614,56","871,17","146,00","74,00","0,00","53,00","194,00","47,00","412,00","4,00","400,00","36,00","0,00","0,00","0,00","4,00","0,00","7,00","5,00","157,00","46,00","82,00","78,00","129,00","144,00","15,00","10,00","19,00","8,00","71,00","77,00","18,00","53,00","9,00","68,00","33,00","22,00","182,00","871,17","11 041,78","4,00","-2 793,78","10 170,62","13 835,56","7,00","3,00","2,00","Plzeňský kraj","TACHOV","Tachov"
"Lomec","517,24","939,30","0,00","0,00","84,99","12,62","60,66","49,00","24,00","2,00","40,00","68,00","33,00","121,00","0,00","135,00","14,00","0,00","0,00","0,00","0,00","0,00","11,00","3,00","40,00","19,00","29,00","24,00","35,00","44,00","2,00","2,00","2,00","2,00","27,00","9,00","20,00","23,00","3,00","28,00","30,00","5,00","62,00","60,66","1 012,57","0,00","410,36","951,92","602,21","1,00","0,00","2,00","Plzeňský kraj","KLATOVY","Klatovy"
"Lomnice","5 691,82","6 080,16","1 788,48","198,24","1 181,42","1 453,32","696,54","197,00","71,00","0,00","196,00","213,00","137,00","517,00","2,00","474,00","71,00","1,00","0,00","0,00","0,00","0,00","16,00","15,00","169,00","77,00","108,00","80,00","158,00","170,00","21,00","17,00","22,00","10,00","68,00","42,00","24,00","63,00","15,00","105,00","126,00","78,00","160,00","2 485,02","10 216,73","10,00","3 343,53","7 731,72","6 873,20","29,00","7,00","3,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Lomnice","32 510,90","13 705,59","840,55","111,22","13 147,85","20 842,53","1 837,15","428,00","195,00","6,00","301,00","578,00","279,00","1 219,00","5,00","1 152,00","135,00","36,00","1,00","0,00","0,00","0,00","48,00","30,00","371,00","212,00","262,00","213,00","384,00","408,00","42,00","37,00","44,00","68,00","172,00","187,00","4,00","222,00","33,00","241,00","247,00","63,00","519,00","2 677,70","37 337,03","46,00","-8 321,71","34 659,34","45 658,74","28,00","16,00","10,00","Karlovarský kraj","SOKOLOV","Sokolov"
"Lomnice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko"
"Lomnice nad Lužnicí","21 265,57","14 363,66","86,46","1 803,56","2 097,91","9 603,61","3 485,23","687,00","336,00","4,00","618,00","857,00","495,00","1 780,00","7,00","1 744,00","293,00","3,00","0,00","0,00","0,00","10,00","107,00","7,00","559,00","419,00","290,00","270,00","544,00","536,00","68,00","69,00","42,00","53,00","322,00","193,00","63,00","399,00","64,00","351,00","463,00","54,00","785,00","3 571,69","29 342,50","49,00","5 979,08","25 770,83","23 363,42","41,00","18,00","24,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec"
"Lomnice nad Popelkou","67 863,00","53 049,40","27 282,48","13 894,76","82 696,12","7 807,16","15 450,72","2 233,00","1 075,00","21,00","1 574,00","2 669,00","1 199,00","5 741,00","21,00","5 648,00","999,00","0,00","23,00","0,00","26,00","11,00","449,00","68,00","1 784,00","1 342,00","823,00","803,00","1 717,00","1 783,00","211,00","228,00","210,00","385,00","513,00","796,00","61,00","1 133,00","130,00","1 456,00","1 085,00","275,00","2 421,00","42 733,20","117 484,46","96,00","-33 074,62","74 751,32","150 559,08","118,00","61,00","53,00","Liberecký kraj","SEMILY","Semily"
"Lomnička","3 454,43","3 726,83","0,00","400,00","960,11","255,44","508,30","161,00","102,00","3,00","156,00","229,00","143,00","499,00","3,00","512,00","74,00","2,00","1,00","0,00","0,00","0,00","49,00","4,00","165,00","98,00","76,00","92,00","149,00","158,00","14,00","12,00","14,00","34,00","95,00","58,00","2,00","102,00","26,00","98,00","136,00","16,00","209,00","508,30","4 890,56","26,00","476,10","4 382,27","4 414,46","9,00","7,00","3,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Lomy","3 276,17","1 417,48","0,00","0,00","0,00","2 107,01","220,35","54,00","17,00","0,00","59,00","57,00","45,00","132,00","0,00","142,00","28,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","58,00","21,00","32,00","18,00","36,00","43,00","4,00","3,00","7,00","2,00","21,00","15,00","13,00","16,00","2,00","35,00","44,00","8,00","49,00","220,35","3 744,86","2,00","468,72","3 524,49","3 276,14","1,00","3,00","2,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Lopeník","2 582,63","1 981,71","210,00","9,90","300,00","437,26","416,34","76,00","29,00","0,00","193,00","93,00","76,00","183,00","0,00","193,00","37,00","0,00","0,00","0,00","0,00","0,00","11,00","8,00","67,00","27,00","55,00","25,00","48,00","57,00","6,00","10,00","4,00","9,00","28,00","17,00","6,00","30,00","17,00","48,00","75,00","22,00","71,00","626,34","3 055,20","10,00","172,60","2 428,87","2 882,60","7,00","5,00","2,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Lošany","3 127,10","3 256,95","375,00","0,00","632,99","396,89","609,86","131,00","48,00","0,00","114,00","160,00","93,00","353,00","1,00","335,00","49,00","0,00","0,00","0,00","0,00","0,00","11,00","4,00","114,00","59,00","74,00","65,00","111,00","103,00","14,00","11,00","13,00","4,00","58,00","39,00","7,00","58,00","14,00","62,00","88,00","30,00","136,00","984,86","4 638,69","19,00","878,64","3 653,84","3 760,05","8,00","4,00","7,00","Středočeský kraj","KOLÍN","Kolín"
"Losiná","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Plzeňský kraj","PLZEŇ","Plzeň-město"
"Loštice","28 440,53","25 667,24","2 487,96","300,04","8 058,11","6 541,65","3 242,67","1 114,00","564,00","0,00","793,00","1 371,00","706,00","3 036,00","14,00","2 968,00","575,00","1,00","2,00","1,00","6,00","3,00","216,00","18,00","993,00","656,00","525,00","430,00","880,00","895,00","136,00","120,00","69,00","296,00","362,00","593,00","38,00","437,00","45,00","595,00","656,00","161,00","1 252,00","5 730,63","38 239,54","84,00","1 740,96","32 508,93","36 498,58","53,00","40,00","29,00","Olomoucký kraj","MOHELNICE","Šumperk"
"Loučany","6 698,26","5 701,62","0,00","365,00","924,13","953,50","545,93","226,00","110,00","7,00","224,00","292,00","193,00","635,00","2,00","605,00","114,00","0,00","0,00","1,00","0,00","0,00","32,00","5,00","219,00","133,00","106,00","88,00","178,00","211,00","24,00","20,00","3,00","19,00","170,00","71,00","10,00","157,00","20,00","137,00","190,00","32,00","259,00","545,93","7 566,05","21,00","-56,29","7 020,12","7 622,34","9,00","7,00","7,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Loučeň","12 363,97","10 733,14","421,80","9,15","1 843,64","3 270,16","1 890,12","449,00","233,00","8,00","603,00","598,00","410,00","1 265,00","2,00","1 236,00","225,00","3,00","0,00","0,00","1,00","0,00","81,00","5,00","396,00","317,00","184,00","178,00","357,00","396,00","63,00","46,00","39,00","69,00","191,00","175,00","30,00","256,00","22,00","281,00","400,00","62,00","550,00","2 311,92","16 324,35","41,00","2 116,77","14 012,45","14 207,57","26,00","15,00","13,00","Středočeský kraj","NYMBURK","Nymburk"
"Loučim","1 311,40","1 345,23","280,00","3,10","1 289,16","556,97","60,70","45,00","20,00","0,00","55,00","45,00","41,00","129,00","1,00","127,00","29,00","1,00","0,00","0,00","0,00","0,00","8,00","4,00","32,00","33,00","21,00","26,00","23,00","31,00","10,00","10,00","5,00","1,00","20,00","9,00","3,00","18,00","4,00","21,00","40,00","2,00","43,00","340,70","2 245,97","6,00","-354,57","1 905,30","2 600,54","2,00","3,00","3,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Loučka","5 296,65","3 715,85","283,10","0,00","1 253,36","2 583,19","693,37","127,00","65,00","0,00","129,00","181,00","109,00","466,00","1,00","475,00","166,00","0,00","0,00","0,00","0,00","0,00","26,00","3,00","133,00","93,00","147,00","47,00","108,00","124,00","7,00","14,00","9,00","172,00","45,00","52,00","8,00","65,00","29,00","78,00","105,00","10,00","172,00","976,47","7 275,50","25,00","725,51","6 299,04","6 549,98","8,00","27,00","3,00","Zlínský kraj","VALAŠSKÉ KLOBOUKY","Zlín"
"Loucká","1 379,22","1 176,34","0,00","0,00","8,40","178,79","60,80","45,00","19,00","0,00","58,00","68,00","45,00","137,00","2,00","134,00","18,00","0,00","0,00","0,00","0,00","0,00","7,00","0,00","52,00","24,00","17,00","28,00","44,00","39,00","5,00","3,00","6,00","1,00","24,00","20,00","2,00","26,00","5,00","35,00","43,00","4,00","64,00","60,80","1 415,92","0,00","28,31","1 355,13","1 387,60","1,00","2,00","1,00","Středočeský kraj","SLANÝ","Kladno"
"Loučka","2 464,87","1 799,95","0,00","0,00","198,97","333,86","166,59","75,00","29,00","1,00","94,00","70,00","63,00","194,00","0,00","184,00","41,00","0,00","0,00","0,00","0,00","0,00","12,00","1,00","65,00","38,00","39,00","24,00","49,00","68,00","9,00","3,00","4,00",NA,"23,00","19,00","5,00","25,00","3,00","42,00","63,00","19,00","59,00","166,59","2 300,39","4,00","-363,41","2 133,81","2 663,80","4,00","3,00","1,00","Olomoucký kraj","LITOVEL","Olomouc"
"Loučka","7 979,62","5 514,80","734,68","559,16","1 332,90","544,29","1 560,72","266,00","132,00","1,00","256,00","371,00","218,00","749,00","1,00","730,00","112,00","0,00","0,00","0,00","0,00","0,00","49,00","2,00","269,00","157,00","122,00","110,00","229,00","250,00","23,00","25,00","20,00","25,00","161,00","132,00","12,00","122,00","34,00","149,00","211,00","39,00","335,00","2 295,40","8 913,62","22,00","-398,88","6 618,25","9 312,50","23,00","8,00","12,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Loučky","1 293,80","1 100,06","0,00","0,00","0,00","98,10","60,10","60,00","27,00","0,00","76,00","70,00","48,00","158,00","0,00","152,00","27,00","0,00","1,00","0,00","2,00","0,00","4,00","2,00","63,00","35,00","19,00","23,00","45,00","48,00","7,00","8,00","5,00","3,00","15,00","20,00","1,00","26,00","8,00","35,00","44,00","9,00","61,00","60,10","1 258,26","3,00","-35,52","1 198,16","1 293,78","5,00","4,00","3,00","Liberecký kraj","TURNOV","Semily"
"Loučná nad Desnou","24 885,09","26 195,53","28 165,98","3 920,79","53 074,79","1 803,67","1 830,36","664,00","299,00","3,00","461,00","746,00","360,00","1 729,00","8,00","1 662,00","308,00","2,00","11,00","0,00","1,00","0,00","71,00","24,00","588,00","363,00","348,00","219,00","493,00","548,00","88,00","73,00","43,00","156,00","167,00","229,00","48,00","263,00","41,00","448,00","300,00","109,00","667,00","29 996,34","61 916,32","35,00","-16 043,48","31 919,99","77 959,80","50,00","21,00","12,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Loučná pod Klínovcem","5 701,14","4 438,06","6 348,40","201,58","9 804,60","914,23","638,48","23,00","6,00","4,00","31,00","33,00","20,00","87,00","0,00","78,00","19,00","0,00","0,00","0,00","0,00","0,00","13,00","1,00","25,00","13,00","2,00","11,00","17,00","33,00","4,00","3,00","10,00","39,00","7,00","2,00","1,00","16,00","4,00","52,00","17,00","6,00","30,00","6 986,88","12 540,75","2,00","-2 964,98","5 553,87","15 505,72","17,00","2,00","2,00","Ústecký kraj","KADAŇ","Chomutov"
"Loučovice","17 577,93","16 058,14","11 754,68","1 012,95","42 517,28","5 567,61","1 412,05","727,00","257,00","1,00","284,00","736,00","202,00","1 691,00","19,00","1 627,00","256,00","20,00","15,00","1,00","3,00","0,00","38,00","64,00","522,00","252,00","443,00","233,00","497,00","566,00","72,00","67,00","77,00","37,00","216,00","182,00","23,00","249,00","25,00","328,00","122,00","164,00","567,00","13 166,73","35 805,38","19,00","-24 289,74","22 638,70","60 095,13","47,00","15,00","12,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Louka","9 847,54","7 633,43","2 040,20","13,10","2 442,99","587,38","2 221,08","319,00","151,00","1,00","353,00","435,00","274,00","993,00","5,00","967,00","191,00","0,00","0,00","0,00","0,00","0,00","52,00","5,00","332,00","207,00","191,00","135,00","271,00","325,00","37,00","34,00","20,00","50,00","149,00","163,00","21,00","127,00","44,00","189,00","272,00","54,00","386,00","4 261,28","12 495,17","17,00","204,65","8 233,91","12 290,52","13,00","11,00","8,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Louka","967,89","914,21","4 336,33","0,00","4 819,24","355,28","260,44","27,00","7,00","0,00","27,00","33,00","24,00","71,00","0,00","72,00","18,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","36,00","10,00","17,00","6,00","19,00","23,00","3,00","2,00","0,00","1,00","13,00","13,00","5,00","6,00","1,00","15,00","23,00","8,00","29,00","4 596,77","5 866,26","7,00","79,15","1 269,49","5 787,10","0,00","2,00","0,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Louka u Litvínova","7 304,86","6 106,85","0,00","411,89","3 985,92","2 061,22","842,51","261,00","128,00","1,00","156,00","355,00","143,00","748,00","2,00","681,00","80,00","16,00","1,00","0,00","0,00","0,00","26,00","6,00","226,00","122,00","143,00","150,00","230,00","239,00","22,00","27,00","22,00","171,00","170,00","112,00","2,00","130,00","26,00","122,00","115,00","63,00","291,00","842,51","9 422,43","40,00","-1 868,33","8 579,96","11 290,76","31,00","12,00","8,00","Ústecký kraj","LITVÍNOV","Most"
"Loukov","10 656,42","8 196,24","511,92","1 921,95","1 565,65","3 139,00","502,04","341,00","182,00","0,00","305,00","490,00","261,00","980,00","5,00","957,00","130,00","2,00","0,00","0,00","4,00","0,00","58,00","11,00","338,00","215,00","145,00","164,00","305,00","330,00","25,00","26,00","22,00","125,00","233,00","138,00","27,00","211,00","35,00","193,00","255,00","49,00","427,00","1 013,96","14 271,12","8,00","2 049,05","13 257,19","12 222,07","16,00","12,00","15,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
