"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Suchodol","288,00","37,00","58,00","83,00","93,00","8,00","9,00","6,00","Středočeský kraj","PŘÍBRAM","Příbram",NA
"Suchohrdly","1 144,00","108,00","191,00","384,00","389,00","35,00","37,00","56,00","Jihomoravský kraj","ZNOJMO","Znojmo","17,00"
"Suchohrdly u Miroslavi","458,00","75,00","80,00","156,00","127,00","12,00","8,00","27,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo","2,00"
"Suchomasty","465,00","70,00","54,00","184,00","125,00","21,00","11,00","6,00","Středočeský kraj","BEROUN","Beroun",NA
"Suchonice","172,00","29,00","27,00","50,00","58,00","5,00","3,00","6,00","Olomoucký kraj","OLOMOUC","Olomouc",NA
"Suchov","524,00","84,00","66,00","179,00","151,00","24,00","20,00","38,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín",NA
"Suchovršice","371,00","54,00","55,00","115,00","123,00","10,00","14,00","11,00","Královéhradecký kraj","TRUTNOV","Trutnov","1,00"
"Suchý","409,00","41,00","72,00","138,00","132,00","15,00","11,00","18,00","Jihomoravský kraj","BOSKOVICE","Blansko","2,00"
"Suchý Důl","411,00","59,00","75,00","140,00","115,00","11,00","11,00","2,00","Královéhradecký kraj","NÁCHOD","Náchod",NA
"Sudějov","62,00","14,00","10,00","17,00","16,00","1,00","4,00","1,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora","1,00"
"Sudice","451,00","49,00","77,00","144,00","144,00","19,00","18,00","16,00","Jihomoravský kraj","BOSKOVICE","Blansko","3,00"
"Sudice","669,00","89,00","103,00","238,00","217,00","12,00","10,00","38,00","Moravskoslezský kraj","KRAVAŘE","Opava","1,00"
"Sudice","341,00","76,00","48,00","108,00","91,00","8,00","10,00","18,00","Vysočina","NÁMĚŠŤ NAD OSLAVOU","Třebíč","1,00"
"Sudislav nad Orlicí","111,00","13,00","13,00","38,00","37,00","3,00","7,00","3,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí","1,00"
"Sudkov","1 174,00","143,00","191,00","393,00","369,00","44,00","34,00","49,00","Olomoucký kraj","ŠUMPERK","Šumperk","3,00"
"Sudoměř","87,00","11,00","12,00","38,00","24,00","0,00","2,00","0,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA
"Sudoměřice","1 200,00","170,00","172,00","393,00","397,00","38,00","30,00","74,00","Jihomoravský kraj","HODONÍN","Hodonín","2,00"
"Sudoměřice u Bechyně","678,00","90,00","93,00","232,00","214,00","24,00","25,00","34,00","Jihočeský kraj","TÁBOR","Tábor","1,00"
"Sudoměřice u Tábora","281,00","41,00","44,00","83,00","89,00","9,00","15,00","3,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Sudovo Hlavno","2","2","2","2","2","2","2","2","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mladá Boleslav",NA
"Sudslava","184,00","29,00","43,00","51,00","50,00","7,00","4,00","1,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí",NA
"Sukorady","208,00","41,00","20,00","67,00","58,00","11,00","11,00","4,00","Královéhradecký kraj","HOŘICE","Jičín","1,00"
"Sukorady","339,00","46,00","51,00","116,00","113,00","3,00","10,00","5,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00"
"Sulejovice","688,00","105,00","87,00","239,00","203,00","31,00","23,00","26,00","Ústecký kraj","LOVOSICE","Litoměřice",NA
"Sulice","1 269,00","105,00","255,00","401,00","441,00","36,00","31,00","7,00","Středočeský kraj","ŘÍČANY","Praha-východ","14,00"
"Sulíkov","265,00","30,00","36,00","101,00","84,00","5,00","9,00","13,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA
"Sulimov","163,00","25,00","25,00","53,00","51,00","5,00","4,00","5,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA
"Sulislav","199,00","23,00","28,00","77,00","60,00","3,00","8,00","4,00","Plzeňský kraj","STŘÍBRO","Tachov",NA
"Sulkovec","194,00","33,00","23,00","60,00","63,00","8,00","7,00","6,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA
"Šumavské Hoštice","385,00","49,00","68,00","130,00","117,00","9,00","12,00","7,00","Jihočeský kraj","VIMPERK","Prachatice","4,00"
"Šumice","1 763,00","287,00","251,00","561,00","553,00","51,00","60,00","47,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště",NA
"Šumice","2","2","2","2","2","2","2","2","Jihomoravský kraj","POHOŘELICE","Brno-venkov",NA
"Šumná","602,00","82,00","90,00","195,00","196,00","18,00","21,00","45,00","Jihomoravský kraj","ZNOJMO","Znojmo","2,00"
"Šumperk","27 946,00","4 606,00","3 701,00","8 888,00","8 899,00","1 021,00","831,00","1 109,00","Olomoucký kraj","ŠUMPERK","Šumperk","42,00"
"Šumvald","1 720,00","242,00","260,00","558,00","562,00","49,00","49,00","66,00","Olomoucký kraj","UNIČOV","Olomouc","1,00"
"Supíkovice","2","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník","2"
"Sušice","11 524,00","1 858,00","1 670,00","3 614,00","3 650,00","391,00","341,00","478,00","Plzeňský kraj","SUŠICE","Klatovy","15,00"
"Sušice","328,00","69,00","43,00","101,00","98,00","10,00","7,00","12,00","Olomoucký kraj","PŘEROV","Přerov",NA
"Sušice","569,00","99,00","86,00","199,00","159,00","11,00","15,00","16,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","4,00"
"Švábenice","952,00","100,00","149,00","331,00","314,00","21,00","37,00","28,00","Jihomoravský kraj","VYŠKOV","Vyškov","6,00"
"Švábov","79,00","21,00","3,00","19,00","28,00","2,00","6,00","3,00","Vysočina","JIHLAVA","Jihlava",NA
"Svárov","379,00","27,00","74,00","127,00","132,00","11,00","8,00","9,00","Středočeský kraj","KLADNO","Kladno","15,00"
"Svárov","250,00","39,00","31,00","83,00","81,00","7,00","9,00","6,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště",NA
"Svatá","358,00","69,00","40,00","113,00","118,00","11,00","7,00","15,00","Středočeský kraj","BEROUN","Beroun","1,00"
"Svatá Maří","556,00","77,00","80,00","207,00","159,00","21,00","12,00","12,00","Jihočeský kraj","VIMPERK","Prachatice","4,00"
"Svatava","1 660,00","227,00","287,00","515,00","522,00","54,00","55,00","57,00","Karlovarský kraj","SOKOLOV","Sokolov","3,00"
"Svaté Pole","345,00","38,00","54,00","122,00","112,00","10,00","9,00","13,00","Středočeský kraj","DOBŘÍŠ","Příbram","1,00"
"Svatobořice-Mistřín","3 553,00","502,00","532,00","1 236,00","1 082,00","117,00","84,00","188,00","Jihomoravský kraj","KYJOV","Hodonín","7,00"
"Svatojanský Újezd","89,00","13,00","7,00","34,00","28,00","5,00","2,00","4,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Svatoňovice","323,00","31,00","68,00","108,00","103,00","7,00","6,00","25,00","Moravskoslezský kraj","VÍTKOV","Opava",NA
"Svatoslav","419,00","78,00","62,00","118,00","131,00","16,00","14,00","5,00","Jihomoravský kraj","TIŠNOV","Brno-venkov","1,00"
"Svatoslav","241,00","41,00","26,00","88,00","76,00","5,00","5,00","13,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Svatý Jan","645,00","86,00","91,00","244,00","194,00","16,00","14,00","14,00","Středočeský kraj","SEDLČANY","Příbram","7,00"
"Svatý Jan nad Malší","488,00","68,00","81,00","164,00","149,00","13,00","13,00","6,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice","4,00"
"Svatý Jan pod Skalou","140,00","10,00","24,00","52,00","46,00","4,00","4,00","1,00","Středočeský kraj","BEROUN","Beroun","2,00"
"Svatý Jiří","301,00","33,00","42,00","111,00","95,00","11,00","9,00","5,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí",NA
"Svatý Mikuláš","758,00","128,00","95,00","255,00","218,00","29,00","33,00","17,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora","4,00"
"Svébohov","444,00","67,00","70,00","132,00","144,00","17,00","14,00","16,00","Olomoucký kraj","ZÁBŘEH","Šumperk","1,00"
"Svémyslice","138,00","15,00","20,00","51,00","42,00","3,00","7,00","0,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","18,00"
"Svépravice","114,00","17,00","12,00","44,00","34,00","3,00","4,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Svéradice","355,00","55,00","52,00","106,00","108,00","20,00","14,00","16,00","Plzeňský kraj","HORAŽĎOVICE","Klatovy",NA
"Svésedlice","179,00","24,00","22,00","72,00","53,00","4,00","4,00","3,00","Olomoucký kraj","OLOMOUC","Olomouc",NA
"Světce","149,00","29,00","18,00","51,00","43,00","4,00","4,00","6,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec","2,00"
"Světec","972,00","131,00","162,00","309,00","292,00","41,00","37,00","43,00","Ústecký kraj","BÍLINA","Teplice",NA
