"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Česká","740,00","104,00","115,00","227,00","231,00","35,00","28,00","10,00","Jihomoravský kraj","KUŘIM","Brno-venkov","2,00"
"Česká Bělá","995,00","130,00","154,00","341,00","319,00","30,00","21,00","21,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod","2,00"
"Česká Bříza","484,00","87,00","54,00","144,00","158,00","22,00","19,00","9,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","1,00"
"Česká Čermná","464,00","59,00","67,00","167,00","150,00","12,00","9,00","8,00","Královéhradecký kraj","NÁCHOD","Náchod","1,00"
"Česká Kamenice","5 514,00","773,00","850,00","1 802,00","1 718,00","181,00","190,00","332,00","Ústecký kraj","DĚČÍN","Děčín","6,00"
"Česká Kubice","642,00","87,00","107,00","215,00","198,00","19,00","16,00","19,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA
"Česká Lípa","38 315,00","3 905,00","5 867,00","13 070,00","13 290,00","1 162,00","1 021,00","1 304,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa","160,00"
"Česká Metuje","281,00","39,00","56,00","82,00","78,00","12,00","14,00","4,00","Královéhradecký kraj","NÁCHOD","Náchod",NA
"Česká Rybná","384,00","65,00","60,00","127,00","110,00","13,00","9,00","8,00","Pardubický kraj","ŽAMBERK","Ústí nad Orlicí",NA
"Česká Skalice","5 417,00","799,00","765,00","1 687,00","1 815,00","178,00","173,00","86,00","Královéhradecký kraj","NÁCHOD","Náchod","7,00"
"Česká Třebová","16 328,00","2 504,00","2 342,00","5 188,00","5 130,00","613,00","551,00","641,00","Pardubický kraj","ČESKÁ TŘEBOVÁ","Ústí nad Orlicí","25,00"
"Česká Ves","2","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník","2"
"České Budějovice","95 071,00","14 444,00","12 358,00","30 835,00","30 989,00","3 519,00","2 926,00","1 989,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","245,00"
"České Heřmanice","532,00","74,00","88,00","178,00","162,00","17,00","13,00","14,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí","1,00"
"České Lhotice","103,00","23,00","13,00","31,00","28,00","4,00","4,00","3,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"České Libchavy","571,00","59,00","124,00","186,00","178,00","10,00","14,00","15,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí","27,00"
"České Meziříčí","1 749,00","215,00","310,00","556,00","560,00","52,00","56,00","27,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou","8,00"
"České Petrovice","154,00","21,00","20,00","57,00","51,00","3,00","2,00","2,00","Pardubický kraj","ŽAMBERK","Ústí nad Orlicí",NA
"České Velenice","3 489,00","454,00","529,00","1 229,00","1 106,00","86,00","85,00","82,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec","1,00"
"Český Brod","6 735,00","1 024,00","1 033,00","2 141,00","2 075,00","240,00","222,00","200,00","Středočeský kraj","ČESKÝ BROD","Kolín","27,00"
"Český Dub","2 861,00","500,00","364,00","935,00","871,00","96,00","95,00","96,00","Liberecký kraj","LIBEREC","Liberec","1,00"
"Český Jiřetín","75,00","7,00","12,00","22,00","24,00","2,00","8,00","3,00","Ústecký kraj","LITVÍNOV","Most","1,00"
"Český Krumlov","13 752,00","1 798,00","2 030,00","4 549,00","4 430,00","508,00","437,00","513,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov","9,00"
"Český Rudolec","967,00","140,00","133,00","326,00","317,00","23,00","28,00","45,00","Jihočeský kraj","DAČICE","Jindřichův Hradec","1,00"
"Český Šternberk","151,00","40,00","14,00","48,00","34,00","8,00","7,00","4,00","Středočeský kraj","BENEŠOV","Benešov",NA
"Český Těšín","25 633,00","3 240,00","3 734,00","8 685,00","8 634,00","731,00","609,00","1 646,00","Moravskoslezský kraj","ČESKÝ TĚŠÍN","Karviná","37,00"
"Češov","188,00","52,00","21,00","51,00","54,00","5,00","5,00","9,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Čestice","562,00","67,00","106,00","176,00","168,00","24,00","21,00","8,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou","1,00"
"Čestice","936,00","156,00","125,00","325,00","278,00","25,00","27,00","23,00","Jihočeský kraj","STRAKONICE","Strakonice",NA
"Čestín","439,00","103,00","48,00","150,00","105,00","17,00","16,00","10,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA
"Čestlice","516,00","55,00","80,00","169,00","168,00","16,00","28,00","5,00","Středočeský kraj","ŘÍČANY","Praha-východ","7,00"
"Cetechovice","185,00","35,00","22,00","60,00","51,00","11,00","6,00","11,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA
"Cetenov","112,00","24,00","12,00","31,00","33,00","7,00","5,00","2,00","Liberecký kraj","LIBEREC","Liberec",NA
"Cetkovice","730,00","92,00","133,00","232,00","229,00","22,00","22,00","19,00","Jihomoravský kraj","BOSKOVICE","Blansko","1,00"
"Cetoraz","277,00","46,00","33,00","93,00","82,00","8,00","15,00","6,00","Vysočina","PACOV","Pelhřimov","1,00"
"Cetyně","152,00","20,00","15,00","60,00","44,00","7,00","6,00","5,00","Středočeský kraj","PŘÍBRAM","Příbram","2,00"
"Chabařovice","2 491,00","329,00","409,00","823,00","781,00","79,00","70,00","156,00","Ústecký kraj","ÚSTÍ NAD LABEM","Ústí nad Labem","20,00"
"Chabeřice","231,00","51,00","23,00","75,00","63,00","9,00","10,00","7,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA
"Chaloupky","445,00","66,00","79,00","136,00","125,00","19,00","20,00","9,00","Středočeský kraj","HOŘOVICE","Beroun","4,00"
"Chanovice","720,00","104,00","88,00","251,00","223,00","27,00","27,00","12,00","Plzeňský kraj","HORAŽĎOVICE","Klatovy","4,00"
"Chářovice","165,00","24,00","21,00","51,00","60,00","2,00","7,00","1,00","Středočeský kraj","BENEŠOV","Benešov","2,00"
"Charvatce","203,00","38,00","29,00","55,00","63,00","7,00","11,00","3,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","4,00"
"Charváty","841,00","114,00","145,00","274,00","264,00","25,00","19,00","25,00","Olomoucký kraj","OLOMOUC","Olomouc","2,00"
"Chbany","619,00","55,00","121,00","209,00","199,00","16,00","19,00","39,00","Ústecký kraj","KADAŇ","Chomutov","2,00"
"Cheb","34 818,00","4 217,00","5 385,00","11 883,00","11 314,00","1 084,00","935,00","1 437,00","Karlovarský kraj","CHEB","Cheb","22,00"
"Chelčice","420,00","32,00","54,00","164,00","159,00","5,00","6,00","12,00","Jihočeský kraj","VODŇANY","Strakonice","1,00"
"Cheznovice","771,00","116,00","101,00","263,00","230,00","31,00","30,00","17,00","Plzeňský kraj","ROKYCANY","Rokycany","2,00"
"Chlebičov","1 075,00","168,00","157,00","352,00","355,00","26,00","17,00","47,00","Moravskoslezský kraj","OPAVA","Opava","4,00"
"Chleby","58,00","11,00","7,00","18,00","18,00","1,00","3,00","2,00","Středočeský kraj","BENEŠOV","Benešov","1,00"
"Chleny","233,00","32,00","42,00","72,00","69,00","10,00","8,00","2,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA
"Chlístov","294,00","33,00","50,00","90,00","104,00","6,00","11,00","5,00","Středočeský kraj","BENEŠOV","Benešov","3,00"
"Chlístov","237,00","37,00","37,00","69,00","71,00","14,00","9,00","9,00","Vysočina","TŘEBÍČ","Třebíč","2,00"
"Chlístov","87,00","15,00","7,00","37,00","26,00","0,00","2,00","2,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou",NA
"Chlistov","95,00","21,00","14,00","28,00","24,00","4,00","4,00","1,00","Plzeňský kraj","KLATOVY","Klatovy","1,00"
"Chlístovice","705,00","100,00","94,00","251,00","217,00","21,00","22,00","42,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA
"Chlum","51,00","19,00","7,00","14,00","11,00","0,00","0,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany",NA
"Chlum","143,00","20,00","16,00","49,00","42,00","3,00","13,00","0,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Chlum","263,00","34,00","44,00","89,00","80,00","8,00","8,00","14,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA
"Chlum","211,00","33,00","37,00","65,00","63,00","6,00","7,00","0,00","Plzeňský kraj","BLOVICE","Plzeň-jih",NA
"Chlum","152,00","25,00","20,00","45,00","50,00","6,00","6,00","6,00","Vysočina","TŘEBÍČ","Třebíč","1,00"
"Chlum","188,00","34,00","31,00","63,00","51,00","4,00","5,00","3,00","Jihočeský kraj","BLATNÁ","Strakonice",NA
"Chlum Svaté Maří","284,00","37,00","30,00","106,00","101,00","5,00","5,00","14,00","Karlovarský kraj","SOKOLOV","Sokolov",NA
"Chlum u Třeboně","2 165,00","354,00","287,00","690,00","659,00","76,00","99,00","73,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec","4,00"
"Chlum-Korouhvice","44,00","5,00","7,00","16,00","14,00","2,00","0,00","1,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA
"Chlumany","317,00","41,00","59,00","98,00","101,00","7,00","11,00","9,00","Jihočeský kraj","PRACHATICE","Prachatice",NA
"Chlumčany","2 466,00","328,00","403,00","805,00","770,00","83,00","77,00","34,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih","6,00"
"Chlumčany","497,00","75,00","69,00","163,00","158,00","19,00","13,00","22,00","Ústecký kraj","LOUNY","Louny","4,00"
"Chlumec","4 314,00","462,00","649,00","1 476,00","1 422,00","155,00","150,00","177,00","Ústecký kraj","ÚSTÍ NAD LABEM","Ústí nad Labem","7,00"
"Chlumec nad Cidlinou","5 353,00","821,00","753,00","1 721,00","1 648,00","211,00","199,00","194,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové","8,00"
"Chlumek","176,00","38,00","20,00","55,00","54,00","2,00","7,00","10,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Chlumětín","198,00","36,00","27,00","63,00","51,00","10,00","11,00","7,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou",NA
"Chlumín","442,00","50,00","75,00","155,00","144,00","6,00","12,00","17,00","Středočeský kraj","NERATOVICE","Mělník",NA
"Chlumy","90,00","26,00","12,00","24,00","21,00","4,00","3,00","1,00","Plzeňský kraj","NEPOMUK","Plzeň-jih",NA
"Chlustina","227,00","32,00","34,00","72,00","66,00","13,00","10,00","4,00","Středočeský kraj","HOŘOVICE","Beroun","1,00"
"Chmelík","188,00","23,00","24,00","67,00","57,00","10,00","7,00","8,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Chmelná","119,00","19,00","29,00","36,00","30,00","3,00","2,00","1,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Chobot","60,00","11,00","4,00","21,00","17,00","5,00","2,00","0,00","Jihočeský kraj","BLATNÁ","Strakonice",NA
"Choceň","9 080,00","1 450,00","1 338,00","2 935,00","2 731,00","315,00","311,00","215,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí","16,00"
"Chocenice","546,00","77,00","85,00","175,00","164,00","21,00","24,00","9,00","Plzeňský kraj","BLOVICE","Plzeň-jih",NA
"Chocerady","1 077,00","168,00","161,00","340,00","342,00","28,00","38,00","16,00","Středočeský kraj","BENEŠOV","Benešov","8,00"
"Chocnějovice","412,00","72,00","62,00","145,00","117,00","9,00","7,00","2,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA
"Chocomyšl","141,00","16,00","18,00","47,00","45,00","10,00","5,00","2,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA
"Chodouň","575,00","68,00","80,00","201,00","173,00","22,00","31,00","12,00","Středočeský kraj","BEROUN","Beroun","1,00"
"Chodouny","618,00","90,00","76,00","205,00","192,00","28,00","27,00","61,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA
"Chodov","715,00","89,00","79,00","253,00","240,00","23,00","31,00","9,00","Plzeňský kraj","DOMAŽLICE","Domažlice","4,00"
"Chodov","146,00","8,00","60,00","47,00","23,00","3,00","5,00","6,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary",NA
"Chodov","14 321,00","1 596,00","2 187,00","4 836,00","4 768,00","484,00","450,00","719,00","Karlovarský kraj","SOKOLOV","Sokolov","5,00"
"Chodová Planá","1 786,00","182,00","277,00","649,00","579,00","49,00","50,00","71,00","Plzeňský kraj","TACHOV","Tachov","3,00"
"Chodovlice","152,00","21,00","21,00","47,00","52,00","4,00","7,00","10,00","Ústecký kraj","LOVOSICE","Litoměřice",NA
"Chodská Lhota","423,00","47,00","81,00","139,00","127,00","15,00","14,00","11,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA
"Chodský Újezd","754,00","80,00","116,00","261,00","246,00","21,00","30,00","39,00","Plzeňský kraj","TACHOV","Tachov","2,00"
"Cholenice","195,00","30,00","40,00","61,00","54,00","6,00","4,00","8,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Cholina","689,00","107,00","112,00","217,00","204,00","26,00","23,00","27,00","Olomoucký kraj","LITOVEL","Olomouc","2,00"
"Choltice","1 001,00","158,00","161,00","288,00","323,00","39,00","32,00","25,00","Pardubický kraj","PŘELOUČ","Pardubice","4,00"
"Chomle","70,00","21,00","7,00","16,00","14,00","3,00","9,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany",NA
"Chomutice","643,00","84,00","125,00","195,00","199,00","18,00","22,00","28,00","Královéhradecký kraj","HOŘICE","Jičín",NA
"Chomutov","49 882,00","6 552,00","7 229,00","16 513,00","16 173,00","1 830,00","1 585,00","2 982,00","Ústecký kraj","CHOMUTOV","Chomutov","12,00"
"Chomýž","364,00","54,00","70,00","111,00","101,00","18,00","10,00","21,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž",NA
"Choratice","71,00","7,00","13,00","24,00","20,00","4,00","3,00","3,00","Středočeský kraj","BENEŠOV","Benešov",NA
"Chornice","891,00","103,00","159,00","297,00","269,00","33,00","30,00","64,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy","3,00"
"Chorušice","477,00","75,00","67,00","165,00","141,00","14,00","15,00","13,00","Středočeský kraj","MĚLNÍK","Mělník",NA
"Choryně","713,00","87,00","113,00","255,00","235,00","12,00","11,00","31,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín","3,00"
"Choťánky","411,00","57,00","43,00","135,00","139,00","19,00","18,00","21,00","Středočeský kraj","PODĚBRADY","Nymburk","3,00"
"Chotěboř","9 907,00","1 413,00","1 530,00","3 263,00","3 120,00","305,00","276,00","217,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod","17,00"
"Chotěbudice","103,00","20,00","14,00","34,00","30,00","2,00","3,00","5,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA
"Chotěbuz","1 105,00","177,00","169,00","361,00","329,00","36,00","33,00","51,00","Moravskoslezský kraj","ČESKÝ TĚŠÍN","Karviná","13,00"
"Choteč","300,00","38,00","45,00","97,00","105,00","7,00","8,00","6,00","Pardubický kraj","PARDUBICE","Pardubice","3,00"
"Choteč","319,00","36,00","61,00","99,00","108,00","7,00","8,00","0,00","Středočeský kraj","ČERNOŠICE","Praha-západ","1,00"
"Chotěmice","121,00","29,00","13,00","40,00","32,00","4,00","3,00","5,00","Jihočeský kraj","SOBĚSLAV","Tábor",NA
"Chotěnov","125,00","23,00","20,00","37,00","36,00","4,00","5,00","4,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Chotěšice","327,00","72,00","48,00","94,00","90,00","9,00","14,00","29,00","Středočeský kraj","PODĚBRADY","Nymburk",NA
"Chotěšov","2 692,00","436,00","381,00","866,00","813,00","92,00","104,00","40,00","Plzeňský kraj","STOD","Plzeň-jih","1,00"
"Chotěšov","472,00","75,00","69,00","159,00","121,00","16,00","32,00","25,00","Ústecký kraj","LOVOSICE","Litoměřice","4,00"
"Chotětov","879,00","100,00","159,00","278,00","284,00","30,00","28,00","21,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","10,00"
"Chotěvice","1 017,00","133,00","164,00","321,00","338,00","27,00","34,00","39,00","Královéhradecký kraj","TRUTNOV","Trutnov","2,00"
"Chotíkov","915,00","107,00","135,00","304,00","309,00","29,00","31,00","16,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","11,00"
"Chotilsko","390,00","65,00","56,00","130,00","110,00","9,00","20,00","14,00","Středočeský kraj","DOBŘÍŠ","Příbram","1,00"
"Chotiměř","278,00","32,00","52,00","89,00","85,00","8,00","12,00","12,00","Ústecký kraj","LOVOSICE","Litoměřice",NA
"Chotiněves","203,00","34,00","30,00","64,00","64,00","5,00","6,00","12,00","Ústecký kraj","LITOMĚŘICE","Litoměřice","1,00"
"Chotovice","133,00","19,00","40,00","33,00","35,00","4,00","2,00","11,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Chotovice","152,00","13,00","19,00","55,00","58,00","3,00","4,00","9,00","Liberecký kraj","NOVÝ BOR","Česká Lípa",NA
"Choťovice","2","2","2","2","2","2","2","2","Středočeský kraj","KOLÍN","Kolín",NA
"Chotoviny","1 656,00","254,00","265,00","541,00","497,00","45,00","54,00","45,00","Jihočeský kraj","TÁBOR","Tábor","19,00"
"Chotusice","701,00","113,00","89,00","252,00","213,00","15,00","19,00","23,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA
"Chotutice","481,00","87,00","65,00","147,00","155,00","15,00","12,00","18,00","Středočeský kraj","KOLÍN","Kolín","1,00"
"Chotýčany","207,00","30,00","36,00","65,00","65,00","6,00","5,00","1,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","1,00"
"Chotyně","893,00","95,00","155,00","294,00","289,00","26,00","34,00","24,00","Liberecký kraj","LIBEREC","Liberec",NA
"Chotýšany","460,00","55,00","76,00","159,00","140,00","14,00","16,00","9,00","Středočeský kraj","BENEŠOV","Benešov","1,00"
"Choustník","519,00","84,00","81,00","167,00","152,00","20,00","15,00","11,00","Jihočeský kraj","TÁBOR","Tábor","2,00"
"Choustníkovo Hradiště","607,00","76,00","75,00","198,00","205,00","26,00","27,00","21,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA
"Chožov","606,00","82,00","100,00","211,00","189,00","9,00","15,00","51,00","Ústecký kraj","LOUNY","Louny",NA
"Chraberce","143,00","32,00","17,00","51,00","37,00","3,00","3,00","7,00","Ústecký kraj","LOUNY","Louny",NA
"Chrást","2","2","2","2","2","2","2","2","Plzeňský kraj","PLZEŇ","Plzeň-město",NA
"Chrást","217,00","37,00","25,00","71,00","72,00","6,00","6,00","7,00","Středočeský kraj","PŘÍBRAM","Příbram",NA
"Chrast","3 201,00","496,00","480,00","1 055,00","990,00","106,00","74,00","120,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"Chrášťany","725,00","137,00","102,00","224,00","220,00","19,00","23,00","17,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice",NA
"Chrášťany","179,00","30,00","24,00","57,00","58,00","5,00","5,00","1,00","Středočeský kraj","BENEŠOV","Benešov",NA
"Chrášťany","647,00","67,00","101,00","216,00","232,00","19,00","12,00","20,00","Středočeský kraj","ČESKÝ BROD","Kolín",NA
"Chrášťany","588,00","79,00","97,00","205,00","173,00","23,00","11,00","14,00","Středočeský kraj","RAKOVNÍK","Rakovník","1,00"
"Chrášťany","683,00","88,00","93,00","225,00","233,00","21,00","23,00","8,00","Středočeský kraj","ČERNOŠICE","Praha-západ","25,00"
"Chrastava","6 071,00","730,00","992,00","2 060,00","1 943,00","168,00","178,00","211,00","Liberecký kraj","LIBEREC","Liberec","9,00"
"Chrastavec","246,00","59,00","23,00","76,00","69,00","9,00","10,00","13,00","Pardubický kraj","SVITAVY","Svitavy",NA
"Chrastavice","353,00","42,00","61,00","120,00","114,00","11,00","5,00","5,00","Plzeňský kraj","DOMAŽLICE","Domažlice","2,00"
"Chraštice","217,00","28,00","28,00","70,00","68,00","9,00","14,00","11,00","Středočeský kraj","PŘÍBRAM","Příbram",NA
"Chrášťovice","237,00","38,00","32,00","76,00","76,00","8,00","7,00","6,00","Jihočeský kraj","STRAKONICE","Strakonice",NA
"Chrbonín","141,00","18,00","22,00","52,00","41,00","2,00","6,00","2,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Chřenovice","151,00","30,00","21,00","48,00","43,00","3,00","6,00","9,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod",NA
"Chřibská","1 482,00","152,00","284,00","493,00","465,00","52,00","36,00","168,00","Ústecký kraj","VARNSDORF","Děčín","3,00"
"Chřibsko","2","2","2","2","2","2","2","2","Zlínský kraj","KROMĚŘÍŽ","Kroměříž","2"
"Chříč","175,00","27,00","24,00","61,00","51,00","5,00","7,00","12,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA
"Chroboly","479,00","42,00","79,00","168,00","153,00","16,00","21,00","11,00","Jihočeský kraj","PRACHATICE","Prachatice","2,00"
"Chromeč","586,00","73,00","102,00","173,00","192,00","24,00","22,00","25,00","Olomoucký kraj","ŠUMPERK","Šumperk",NA
"Chropyně","5 138,00","594,00","778,00","1 728,00","1 740,00","151,00","147,00","237,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž","5,00"
"Chroustov","208,00","34,00","27,00","65,00","66,00","11,00","5,00","17,00","Středočeský kraj","PODĚBRADY","Nymburk",NA
"Chroustovice","1 245,00","172,00","203,00","401,00","389,00","42,00","38,00","62,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"Chrtníč","132,00","23,00","16,00","44,00","39,00","6,00","4,00","5,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA
"Chrtníky","92,00","8,00","13,00","30,00","29,00","7,00","5,00","1,00","Pardubický kraj","PŘELOUČ","Pardubice",NA
"Chrudichromy","188,00","25,00","26,00","77,00","52,00","3,00","5,00","5,00","Jihomoravský kraj","BOSKOVICE","Blansko","1,00"
"Chrudim","23 379,00","3 385,00","3 334,00","7 530,00","7 654,00","806,00","670,00","690,00","Pardubický kraj","CHRUDIM","Chrudim","23,00"
"Chrustenice","751,00","79,00","122,00","250,00","245,00","24,00","31,00","14,00","Středočeský kraj","BEROUN","Beroun","9,00"
"Chržín","238,00","27,00","43,00","80,00","80,00","3,00","5,00","9,00","Středočeský kraj","SLANÝ","Kladno",NA
"Chuchelna","928,00","141,00","116,00","309,00","302,00","31,00","29,00","37,00","Liberecký kraj","SEMILY","Semily","4,00"
"Chuchelná","1 313,00","182,00","173,00","454,00","461,00","24,00","19,00","55,00","Moravskoslezský kraj","KRAVAŘE","Opava","3,00"
"Chudčice","767,00","113,00","119,00","251,00","241,00","24,00","19,00","18,00","Jihomoravský kraj","KUŘIM","Brno-venkov",NA
"Chudenice","722,00","103,00","108,00","228,00","221,00","35,00","27,00","37,00","Plzeňský kraj","KLATOVY","Klatovy","1,00"
"Chudenín","664,00","53,00","112,00","264,00","199,00","16,00","20,00","28,00","Plzeňský kraj","KLATOVY","Klatovy","1,00"
"Chudeřice","207,00","22,00","40,00","73,00","64,00","3,00","5,00","3,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové","5,00"
"Chuderov","949,00","69,00","166,00","336,00","321,00","28,00","29,00","48,00","Ústecký kraj","ÚSTÍ NAD LABEM","Ústí nad Labem","10,00"
"Chudíř","172,00","26,00","25,00","50,00","61,00","5,00","5,00","3,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00"
"Chudoslavice","121,00","15,00","16,00","51,00","31,00","3,00","5,00","7,00","Ústecký kraj","LITOMĚŘICE","Litoměřice",NA
"Chvalatice","110,00","22,00","9,00","42,00","31,00","2,00","4,00","13,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Chvalčov","1 632,00","244,00","205,00","511,00","543,00","79,00","50,00","57,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž",NA
"Chvaleč","584,00","70,00","102,00","187,00","170,00","31,00","24,00","23,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA
"Chválenice","2","2","2","2","2","2","2","2","Plzeňský kraj","PLZEŇ","Plzeň-město",NA
"Chvaletice","3 309,00","465,00","497,00","1 123,00","1 067,00","85,00","72,00","96,00","Pardubický kraj","PŘELOUČ","Pardubice","6,00"
"Chvalíkovice","702,00","95,00","111,00","235,00","217,00","26,00","18,00","20,00","Moravskoslezský kraj","OPAVA","Opava",NA
"Chvalkovice","668,00","88,00","88,00","242,00","202,00","29,00","19,00","19,00","Královéhradecký kraj","JAROMĚŘ","Náchod","1,00"
"Chvalkovice","262,00","51,00","31,00","93,00","71,00","7,00","9,00","17,00","Jihomoravský kraj","BUČOVICE","Vyškov",NA
"Chvalnov-Lísky","265,00","52,00","36,00","85,00","71,00","13,00","8,00","20,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA
"Chvalovice","454,00","49,00","78,00","161,00","139,00","16,00","11,00","21,00","Jihomoravský kraj","ZNOJMO","Znojmo","1,00"
"Chvalovice","166,00","22,00","25,00","54,00","49,00","7,00","9,00","4,00","Jihočeský kraj","PRACHATICE","Prachatice",NA
"Chvalšiny","1 191,00","118,00","209,00","391,00","386,00","39,00","48,00","48,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov","4,00"
"Chvatěruby","456,00","51,00","85,00","147,00","142,00","14,00","17,00","7,00","Středočeský kraj","KRALUPY NAD VLTAVOU","Mělník","2,00"
"Chvojenec","691,00","85,00","114,00","244,00","209,00","22,00","17,00","9,00","Pardubický kraj","HOLICE","Pardubice","4,00"
"Chyjice","137,00","28,00","18,00","49,00","34,00","5,00","3,00","7,00","Královéhradecký kraj","JIČÍN","Jičín","1,00"
"Chyňava","1 631,00","273,00","232,00","537,00","487,00","59,00","43,00","29,00","Středočeský kraj","BEROUN","Beroun","6,00"
"Chýně","1 183,00","100,00","193,00","411,00","420,00","29,00","30,00","8,00","Středočeský kraj","ČERNOŠICE","Praha-západ","149,00"
"Chýnice","312,00","36,00","58,00","91,00","102,00","13,00","12,00","3,00","Středočeský kraj","ČERNOŠICE","Praha-západ","1,00"
"Chýnov","2 257,00","351,00","372,00","695,00","702,00","77,00","60,00","27,00","Jihočeský kraj","TÁBOR","Tábor","12,00"
"Chyše","591,00","83,00","92,00","193,00","183,00","20,00","20,00","51,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary",NA
"Chyšky","1 081,00","152,00","173,00","375,00","316,00","31,00","34,00","55,00","Jihočeský kraj","MILEVSKO","Písek",NA
"Chyšná","99,00","13,00","14,00","37,00","29,00","5,00","1,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Chýšť","202,00","27,00","23,00","76,00","72,00","3,00","1,00","9,00","Pardubický kraj","PARDUBICE","Pardubice",NA
"Chýstovice","37,00","13,00","4,00","9,00","10,00","0,00","1,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Číčenice","454,00","53,00","74,00","156,00","141,00","12,00","18,00","26,00","Jihočeský kraj","VODŇANY","Strakonice",NA
