"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Záboří","323,00","30,00","60,00","114,00","108,00","5,00","6,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Záboří nad Labem","786,00","134,00","107,00","262,00","231,00","28,00","24,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Záborná","206,00","29,00","40,00","72,00","52,00","6,00","7,00","Vysočina","JIHLAVA","Jihlava"
"Žabovřesky","416,00","48,00","86,00","138,00","129,00","5,00","10,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Žabovřesky nad Ohří","210,00","26,00","31,00","75,00","71,00","1,00","6,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Zábrdí","47,00","9,00","7,00","13,00","11,00","3,00","4,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Zábřeh","14 252,00","2 021,00","1 996,00","4 645,00","4 758,00","457,00","375,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Zábřezí-Řečice","145,00","19,00","23,00","42,00","49,00","6,00","6,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Zábrodí","401,00","72,00","50,00","139,00","122,00","10,00","8,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Zabrušany","1 103,00","132,00","159,00","388,00","360,00","34,00","30,00","Ústecký kraj","TEPLICE","Teplice"
"Záchlumí","406,00","44,00","77,00","136,00","135,00","5,00","9,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Záchlumí","812,00","100,00","94,00","327,00","251,00","17,00","23,00","Pardubický kraj","ŽAMBERK","Ústí nad Orlicí"
"Zachotín","229,00","36,00","29,00","82,00","74,00","6,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Zachrašťany","165,00","35,00","11,00","54,00","52,00","8,00","5,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Žacléř","3 608,00","541,00","572,00","1 136,00","1 091,00","155,00","113,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Zadní Chodov","273,00","28,00","36,00","108,00","86,00","10,00","5,00","Plzeňský kraj","TACHOV","Tachov"
"Zadní Střítež","33,00","8,00","0,00","11,00","11,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Zadní Třebaň","646,00","96,00","107,00","209,00","198,00","19,00","17,00","Středočeský kraj","BEROUN","Beroun"
"Zadní Vydří","52,00","14,00","10,00","12,00","14,00","2,00","0,00","Vysočina","TELČ","Jihlava"
"Zadní Zhořec","141,00","13,00","25,00","45,00","47,00","4,00","7,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
