"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet lůžek v ubytovacích zařízeních","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnik. subjektů - Administrativní a podpůrné činnosti","Počet podnik. subjektů - Činn.domác. jako zaměstnavatelů,činn.dom.produk.výr.a služ","Počet podnik. subjektů - Činnosti exteritoriálních organizací a orgánů","Počet podnik. subjektů - Činnosti v oblasti nemovitostí","Počet podnik. subjektů - Doprava a skladování","Počet podnik. subjektů - Informační a komunikační činnosti","Počet podnik. subjektů - Kulturní, zábavní a rekreační činnosti","Počet podnik. subjektů - Nezařazeno","Počet podnik. subjektů - Nezjištěno","Počet podnik. subjektů - Ostatní činnosti","Počet podnik. subjektů - Peněžnictví a pojišťovnictví","Počet podnik. subjektů - Profesní, vědecké a technické činnosti","Počet podnik. subjektů - Stavebnictví","Počet podnik. subjektů - Těžba a dobývání","Počet podnik. subjektů - Ubytování, stravování a pohostinství","Počet podnik. subjektů - Velkoobchod a maloobchod; opravy a údržba motorových vozid","Počet podnik. subjektů - Veřejná správa a obrana; povinné sociální zabezpečení","Počet podnik. subjektů - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného","Počet podnik. subjektů - Vzdělávání","Počet podnik. subjektů - Zásobování vodou; činnosti související s odp. vodami, odpa","Počet podnik. subjektů - Zdravotní a sociální péče","Počet podnik. subjektů - Zemědělství, lesnictví, rybářství","Počet podnik. subjektů - Zpracovatelský průmysl","Počet podnik. subjektů bez zaměstnanců","Počet podnik. subjektů s 1-9 zaměstnanci","Počet podnik. subjektů s 10 - 19 zaměstnanci","Počet podnik. subjektů s 100 - 249 zaměstnanci","Počet podnik. subjektů s 1000 - 2499 zaměstnanci","Počet podnik. subjektů s 20 - 49 zaměstnanci","Počet podnik. subjektů s 250 - 499 zaměstnanci","Počet podnik. subjektů s 2500 a více  zaměstnanci","Počet podnik. subjektů s 50 - 99 zaměstnanci","Počet podnik. subjektů s 500 - 999 zaměstnanci","Počet podnikatelských subjektů celkem","Počet pokojů v ubytovacích zařízeních","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Nová Ves","1 476,00","842,26","2 288,31","207,71","0,00","441,07","193,65","76,00","1,00",NA,"180,00","30,00","29,00","57,00","50,00","6,00","8,00","0,00","0,00","0,00","0,00","1,00","1,00","0,00","1,00","25,00","2,00","2,00","6,00","4,00","0,00","4,00","17,00","1,00","2,00","0,00","0,00","0,00","6,00","2,00","19,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","49,00",NA,NA,"5,00","283,71","2 765,67","9,00","848,60","2 481,96","1 917,07","0,00","604,81","99,59","25,04","0,45","54,72","0,00","40,67","10,79","6,19","165,56","5,00","3,00","1,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Nová Ves","11 171,92","1 159,67","9 631,08","120,81","16 121,96","5 343,81","3 120,94","595,67","0,00",NA,"793,00","121,00","133,00","237,00","241,00","28,00","33,00","1,00","0,00","0,00","3,00","2,00","2,00","5,00","1,00","102,00","9,00","4,00","14,00","30,00","0,00","6,00","35,00","2,00","3,00","2,00","1,00","0,00","11,00","35,00","48,00","12,00","2,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","166,00",NA,NA,"35,00","716,48","29 590,46","30,00","13 074,74","28 873,98","16 515,73","0,00","331,14","667,76","67,85","8,94","34,75","0,00","17,84","16,87","14,51","728,32","13,00","6,00","10,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Nová Ves","1 431,98","611,65","1 781,17","0,00","90,84","0,00","31,94","387,69","0,00",NA,"118,00","27,00","22,00","29,00","27,00","7,00","6,00","0,00","0,00","0,00","1,00","1,00","0,00","0,00","0,00","9,00","1,00","0,00","2,00","3,00","0,00","0,00","2,00","2,00","1,00","0,00","0,00","0,00","2,00","5,00","8,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20,00",NA,NA,"6,00","387,69","2 291,64","0,00","859,66","1 903,95","1 431,98","43,20","355,41","165,02","19,15","3,08","9,39","0,00","3,45","8,21","4,74","228,91","2,00","1,00","1,00","Ústecký kraj","LOUNY","Louny"
"Nová Ves","6 398,56","2 695,92","3 423,60","0,00","546,51","332,82","1 183,75","1 452,22","0,00",NA,"194,00","29,00","27,00","52,00","67,00","7,00","12,00","1,00","0,00","0,00","2,00","0,00","0,00","0,00","1,00","34,00","3,00","2,00","1,00","5,00","0,00","1,00","5,00","1,00","0,00","0,00","1,00","0,00","18,00","2,00","8,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","43,00",NA,NA,"18,00","1 452,22","6 606,09","3,00","-125,29","5 153,87","6 731,38","0,00","1 422,26","8,39","166,23","0,00","1 054,07","0,00","37,91","2,55","4,52","1 065,00","16,00","5,00","3,00","Karlovarský kraj","SOKOLOV","Sokolov"
"Nová Ves I","11 744,23","1 030,72","14 059,67","1 687,35","0,00","3 409,51","1 554,79","1 779,20","2,00",NA,"1 235,00","220,00","196,00","347,00","394,00","43,00","35,00","3,00","0,00","0,00","5,00","12,00","4,00","3,00","6,00","131,00","16,00","10,00","19,00","70,00","0,00","9,00","50,00","2,00","1,00","3,00","3,00","0,00","14,00","27,00","110,00","14,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","257,00",NA,NA,"47,00","3 466,55","19 081,01","37,00","3 927,28","15 614,46","15 153,73","0,00","56,40","773,99","70,22","5,54","26,19","0,00","57,43","17,66","23,29","823,37","35,00","13,00","15,00","Středočeský kraj","KOLÍN","Kolín"
"Nová Ves nad Lužnicí","4 312,85","2 382,46","6 035,83","0,00","896,63","6 231,69","3 109,29","415,78","3,00",NA,"329,00","59,00","51,00","85,00","109,00","11,00","14,00","2,00","0,00","0,00","0,00","0,00","0,00","2,00","2,00","62,00","11,00","2,00","2,00","10,00","0,00","9,00","18,00","1,00","1,00","0,00","3,00","0,00","28,00","9,00","36,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00",NA,NA,"7,00","415,78","10 457,53","13,00","-87,01","10 041,75","10 544,54","0,00","1 334,08","209,22","370,11","0,00","388,36","0,00","60,38","8,96","11,36","606,53","18,00","3,00","2,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec"
"Nová Ves nad Nisou","8 656,85","471,49","8 224,22","0,00","2 002,03","0,00","1 110,11","525,70","2,00",NA,"794,00","114,00","131,00","222,00","261,00","30,00","36,00","5,00","0,00","0,00","4,00","5,00","1,00","5,00","4,00","121,00","14,00","4,00","24,00","26,00","0,00","17,00","60,00","2,00","3,00","2,00","1,00","0,00","4,00","34,00","78,00","15,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","215,00",NA,"6,00","18,00","525,70","11 862,06","28,00","3 205,21","11 336,36","8 656,85","0,00","131,14","5,90","69,96","0,00","232,53","0,00","3,56","16,02","12,38","254,45","17,00","6,00","5,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Nová Ves nad Popelkou","8 155,94","1 214,41","8 077,67","0,00","4,50","930,36","3 020,19","332,41","1,00",NA,"662,00","126,00","122,00","177,00","191,00","25,00","21,00","5,00","0,00","0,00","3,00","8,00","3,00","6,00","6,00","84,00","20,00","2,00","12,00","11,00","0,00","10,00","29,00","2,00","2,00","2,00","2,00","0,00","19,00","14,00","59,00","11,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","156,00",NA,NA,"14,00","332,41","11 434,77","27,00","2 348,47","11 102,36","9 086,30","0,00","288,81","501,29","95,05","1,66","285,71","0,00","5,86","22,77","13,27","811,43","25,00","10,00","8,00","Liberecký kraj","SEMILY","Semily"
"Nová Ves pod Pleší","10 795,60","1 102,72","13 795,18","12 210,40","11,75","28 343,24","1 371,97","559,10","8,00",NA,"1 109,00","128,00","246,00","339,00","331,00","25,00","40,00","2,00","0,00","0,00","7,00","8,00","12,00","4,00","9,00","176,00","29,00","9,00","38,00","55,00","0,00","14,00","69,00","2,00","0,00","7,00","0,00","5,00","13,00","39,00","128,00","15,00","2,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","322,00",NA,NA,"32,00","12 769,50","27 948,41","59,00","-11 190,44","15 178,90","39 138,84","0,00","506,13","404,63","77,27","2,86","48,34","0,00","3,44","45,24","14,82","501,06","31,00","16,00","20,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Nová Ves u Bakova","1 897,70","366,28","3 496,91","0,00","0,00","61,19","217,35","60,82","0,00",NA,"283,00","55,00","45,00","86,00","85,00","5,00","7,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","1,00","40,00","2,00","0,00","5,00","9,00","0,00","6,00","22,00","2,00","0,00","0,00","2,00","0,00","2,00","10,00","23,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","64,00",NA,NA,"1,00","60,82","3 775,08","5,00","1 816,19","3 714,25","1 958,89","0,00","246,85","70,86","16,26","0,00","19,25","0,00","3,13","4,89","5,03","95,00","8,00","2,00","4,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Nová Ves u Chotěboře","5 604,99","1 242,26","7 214,92","360,73","9,85","2 030,74","2 529,91","144,15","1,00",NA,"553,00","107,00","86,00","149,00","179,00","15,00","17,00","1,00","0,00","0,00","2,00","2,00","0,00","2,00","5,00","49,00","10,00","4,00","10,00","16,00","0,00","3,00","18,00","2,00","0,00","2,00","0,00","1,00","14,00","19,00","49,00","10,00","1,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","111,00",NA,NA,"13,00","504,88","10 259,57","11,00","2 623,83","9 754,68","7 635,73","0,00","314,50","707,39","59,68","2,41","92,28","0,00","27,45","24,39","14,16","826,47","19,00","6,00","3,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Nová Ves u Chýnova","3 550,56","662,48","3 794,38","0,00","0,00","2 454,32","845,47","98,10","1,00",NA,"322,00","48,00","63,00","96,00","98,00","6,00","11,00","0,00","0,00","0,00","1,00","1,00","1,00","2,00","3,00","33,00","6,00","4,00","8,00","4,00","0,00","3,00","18,00","2,00","1,00","2,00","0,00","0,00","8,00","8,00","35,00","2,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","72,00",NA,NA,"10,00","98,10","4 737,95","7,00","-1 266,92","4 639,85","6 004,87","0,00","152,57","354,59","28,20","0,44","109,27","0,00","5,93","4,18","7,30","468,48","9,00","4,00","8,00","Jihočeský kraj","TÁBOR","Tábor"
"Nová Ves u Jarošova","973,82","238,30","1 042,03","250,00","0,00","305,74","396,84","284,60","0,00",NA,"69,00","13,00","8,00","24,00","22,00","0,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","1,00","1,00","0,00","1,00","0,00","4,00","1,00","2,00","0,00","0,00","0,00","0,00","1,00","1,00","6,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","12,00",NA,NA,NA,"534,60","1 973,47","1,00","693,91","1 438,87","1 279,56","0,00","21,64","137,70","15,79","0,00","54,03","0,00","0,54","6,38","2,22","198,11","0,00","2,00","2,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Nová Ves u Leštiny","1 582,94","512,91","1 627,04","0,00","0,00","0,00","233,64","194,20","0,00",NA,"120,00","24,00","27,00","32,00","28,00","4,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8,00","0,00","1,00","1,00","4,00","0,00","0,00","2,00","2,00","0,00","0,00","0,00","0,00","8,00","4,00","12,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","22,00",NA,NA,"2,00","194,20","2 054,88","2,00","471,94","1 860,68","1 582,94","0,00","249,57","182,28","25,33","0,69","39,42","0,00","5,61","6,69","3,33","229,07","2,00","1,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Nová Ves u Mladé Vožice","2 365,17","1 174,30","2 872,48","0,00","49,28","149,43","355,24","87,00","1,00",NA,"182,00","40,00","24,00","46,00","58,00","7,00","7,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00","22,00","1,00","1,00","1,00","6,00","0,00","0,00","2,00","5,00","1,00","0,00","0,00","0,00","8,00","7,00","10,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34,00",NA,NA,"5,00","87,00","3 364,00","8,00","849,41","3 277,00","2 514,60","0,00","178,53","678,54","54,15","2,67","223,42","0,00","9,44","15,25","12,31","919,88","1,00","1,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Nová Ves u Nového Města na Mor.","4 061,86","633,16","7 191,17","0,00","700,00","1 670,52","324,56","549,22","0,00",NA,"637,00","98,00","125,00","193,00","204,00","10,00","7,00","2,00","0,00","0,00","1,00","2,00","1,00","3,00","0,00","34,00","4,00","1,00","5,00","20,00","0,00","0,00","10,00","2,00","1,00","3,00","0,00","1,00","8,00","12,00","32,00","8,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","76,00",NA,NA,"15,00","549,22","8 764,95","3,00","3 032,57","8 215,73","5 732,38","0,00","88,55","386,26","36,42","0,00","95,74","0,00","3,33","13,01","9,85","495,01","7,00","4,00","9,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Nová Ves u Světlé","5 487,59","759,07","6 673,44","32,34","37,15","532,32","529,06","724,84","1,00",NA,"551,00","76,00","116,00","163,00","165,00","11,00","20,00","1,00","0,00","0,00","2,00","2,00","0,00","4,00","8,00","56,00","4,00","11,00","4,00","10,00","0,00","5,00","18,00","2,00","0,00","1,00","1,00","0,00","7,00","20,00","35,00","7,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00",NA,NA,"22,00","757,18","7 996,84","16,00","1 976,93","7 239,66","6 019,91","0,00","185,83","428,95","29,46","0,00","75,06","0,00","16,49","11,85","11,44","515,85","16,00","0,00","10,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Nová Ves v Horách","7 778,88","2 623,96","6 283,50","0,00","13,54","233,09","1 198,90","937,73","0,00",NA,"468,00","83,00","66,00","129,00","132,00","34,00","24,00","4,00","0,00","0,00","2,00","1,00","0,00","4,00","8,00","88,00","14,00","3,00","6,00","19,00","0,00","16,00","25,00","1,00","0,00","3,00","0,00","1,00","8,00","18,00","34,00","10,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","133,00",NA,"2,00","22,00","937,73","8 433,67","15,00","421,69","7 495,93","8 011,97","0,00","1 990,63","2,49","117,56","0,00","490,95","0,00","9,51","2,85","9,97","496,29","16,00","5,00","8,00","Ústecký kraj","LITVÍNOV","Most"
"Nové Bránice","5 076,84","622,91","8 387,39","0,00","0,70","363,33","351,04","539,14","3,00",NA,"715,00","135,00","117,00","205,00","221,00","25,00","12,00","1,00","0,00","0,00","1,00","12,00","1,00","1,00","6,00","89,00","14,00","8,00","7,00","36,00","0,00","3,00","28,00","2,00","2,00","3,00","0,00","0,00","32,00","36,00","86,00","14,00","2,00","1,00","0,00","0,00","0,00","0,00","1,00","0,00","193,00",NA,NA,"14,00","539,14","9 278,27","17,00","3 838,11","8 739,13","5 440,17","0,00","187,04","361,60","33,47","0,00","1,25","16,07","1,19","10,96","11,34","389,88","29,00","6,00","10,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Nové Dvory","4 081,17","552,40","4 152,45","217,65","0,00","1 817,14","2 185,38","208,49","1,00",NA,"328,00","61,00","50,00","108,00","92,00","9,00","8,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","2,00","30,00","9,00","3,00","6,00","7,00","0,00","6,00","6,00","2,00","2,00","1,00","0,00","0,00","8,00","10,00","27,00","7,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","64,00",NA,"1,00","13,00","426,14","6 763,96","5,00","865,65","6 337,82","5 898,31","0,00","109,04","314,85","34,63","0,00","73,25","0,00","6,54","6,98","7,12","395,08","11,00","3,00","2,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Nové Dvory","1 690,33","839,43","3 020,09","0,00","0,00","25,41","73,30","102,48","1,00",NA,"259,00","44,00","44,00","81,00","81,00","6,00","3,00","0,00","0,00","0,00","1,00","2,00","0,00","0,00","2,00","37,00","2,00","1,00","9,00","15,00","0,00","7,00","15,00","3,00","0,00","0,00","0,00","0,00","9,00","5,00","30,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","71,00",NA,NA,"13,00","102,48","3 195,86","13,00","1 480,12","3 093,38","1 715,74","0,00","281,03","404,08","38,75","6,61","80,06","0,00","2,15","18,47","8,28","509,23","1,00","2,00","2,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Nové Dvory","3 453,61","723,23","4 941,18","6 996,51","9,00","13 382,88","332,23","570,51","0,00",NA,"407,00","85,00","62,00","113,00","126,00","11,00","10,00","1,00","0,00","0,00","4,00","5,00","2,00","1,00","4,00","54,00","1,00","1,00","9,00","13,00","0,00","3,00","33,00","2,00","0,00","0,00","1,00","0,00","13,00","10,00","34,00","13,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","103,00",NA,NA,"17,00","7 567,02","12 849,42","20,00","-3 987,06","5 282,41","16 836,49","12,52","13,32","580,07","62,38","0,86","8,92","0,00","25,68","8,10","11,38","610,47","7,00","13,00","1,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Nové Hamry","3 510,04","2 510,79","5 604,01","155,00","243,83","1 001,13","337,47","311,54","0,00","217,00","335,00","73,00","36,00","84,00","113,00","12,00","17,00","3,00","0,00","0,00","2,00","3,00","0,00","6,00","1,00","62,00","8,00","2,00","18,00","10,00","0,00","7,00","16,00","2,00","0,00","3,00","1,00","0,00","12,00","16,00","41,00","7,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","110,00","82,00","5,00","12,00","466,54","6 651,85","7,00","2 140,68","6 185,31","4 511,17","0,00","2 117,53","0,00","130,77","0,00","202,66","0,00","48,24","1,70","9,88","204,36","7,00","1,00","2,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Nové Heřminovy","2 726,56","1 103,37","3 329,94","192,46","85,69","494,87","541,24","186,63","1,00",NA,"271,00","55,00","33,00","82,00","85,00","7,00","9,00","0,00","0,00","0,00","0,00","2,00","1,00","1,00","0,00","35,00","5,00","1,00","6,00","12,00","0,00","2,00","11,00","1,00","0,00","0,00","1,00","0,00","11,00","6,00","21,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","60,00",NA,NA,"26,00","379,09","4 335,94","11,00","1 114,51","3 956,86","3 221,43","0,00","678,49","119,75","74,55","0,00","177,42","0,00","22,42","17,43","13,31","314,60","11,00","1,00","1,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Nové Hrady","39 164,35","7 974,96","37 203,56","13 684,70","4 461,88","8 613,09","10 604,63","4 670,34","2,00","590,00","2 527,00","486,00","390,00","703,00","773,00","84,00","91,00","8,00","0,00","0,00","35,00","9,00","5,00","10,00","16,00","365,00","62,00","31,00","49,00","92,00","0,00","38,00","91,00","5,00","4,00","11,00","3,00","6,00","67,00","52,00","183,00","40,00","1,00","0,00","0,00","5,00","0,00","0,00","0,00","0,00","594,00","227,00","16,00","58,00","18 355,05","70 625,12","62,00","22 847,67","52 270,07","47 777,45","0,00","4 742,45","724,28","550,54","8,88","1 299,25","0,00","556,49","53,40","39,66","2 085,82","85,00","22,00","21,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Nové Hrady","6 137,33","672,52","4 295,78","0,00","17,33","94,83","1 012,61","1 173,05","0,00",NA,"295,00","60,00","43,00","74,00","100,00","10,00","8,00","0,00","0,00","0,00","1,00","0,00","0,00","4,00","1,00","32,00","9,00","8,00","5,00","13,00","0,00","3,00","11,00","4,00","1,00","2,00","0,00","1,00","7,00","7,00","34,00","10,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","77,00",NA,"2,00","6,00","1 173,05","6 498,75","13,00","266,60","5 325,71","6 232,15","0,00","170,60","318,69","44,54","3,69","105,24","0,00","6,79","14,79","8,19","442,40","17,00","4,00","1,00","Pardubický kraj","VYSOKÉ MÝTO","Chrudim"
"Nové Hutě","2 109,31","2 324,02","1 870,74","0,00","0,00","977,56","407,61","180,15","0,00","575,00","88,00","18,00","11,00","23,00","31,00","2,00","3,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","22,00","3,00","0,00","1,00","0,00","0,00","18,00","6,00","1,00","0,00","0,00","1,00","0,00","10,00","0,00","15,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","42,00","177,00","17,00","3,00","180,15","2 458,50","3,00","-628,37","2 278,35","3 086,87","0,00","1 613,25","3,50","204,64","0,00","493,51","0,00","5,50","0,56","3,06","497,57","2,00","0,00","0,00","Jihočeský kraj","VIMPERK","Prachatice"
"Nové Lublice","3 156,10","686,72","2 638,81","0,00","0,00","0,00","396,89","87,09","0,00",NA,"216,00","39,00","26,00","65,00","61,00","12,00","13,00","0,00","0,00","0,00","0,00","4,00","1,00","1,00","3,00","29,00","5,00","2,00","1,00","4,00","0,00","6,00","6,00","2,00","0,00","1,00","0,00","0,00","3,00","5,00","11,00","2,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","44,00",NA,NA,"13,00","87,09","3 122,78","14,00","-33,32","3 035,69","3 156,10","0,00","288,14","270,75","26,05","0,00","81,16","0,00","3,33","10,80","6,49","362,71","11,00","5,00","6,00","Moravskoslezský kraj","VÍTKOV","Opava"
"Nové Město","4 921,96","793,75","5 672,76","760,00","805,95","2 031,59","201,99","265,09","1,00",NA,"409,00","67,00","64,00","114,00","122,00","22,00","20,00","0,00","0,00","0,00","3,00","4,00","0,00","1,00","1,00","42,00","6,00","2,00","2,00","20,00","0,00","4,00","20,00","2,00","1,00","1,00","1,00","0,00","6,00","18,00","38,00","9,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","92,00",NA,NA,"14,00","1 025,09","7 705,79","6,00","752,24","6 680,70","6 953,55","0,00","97,37","374,60","52,89","0,83","228,46","0,00","17,32","8,51","13,77","612,40","7,00","6,00","10,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Nové Město na Moravě","168 460,44","6 112,65","136 636,37","5 542,41","12 741,01","73 040,51","47 212,26","28 452,34","12,00","1 063,00","10 110,00","1 965,00","1 500,00","2 902,00","3 077,00","363,00","303,00","31,00","0,00","0,00","93,00","42,00","28,00","65,00","66,00","1 168,00","214,00","93,00","236,00","273,00","0,00","91,00","425,00","12,00","22,00","38,00","11,00","43,00","89,00","228,00","739,00","146,00","20,00","4,00","1,00","15,00","1,00","0,00","6,00","0,00","2 100,00","341,00","17,00","466,00","33 994,75","230 584,39","141,00","-10 916,57","196 589,64","241 500,96","0,00","1 771,24","2 651,12","471,34","6,27","917,20","0,00","70,84","123,13","101,50","3 697,73","144,00","99,00","92,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Nové Město nad Metují","147 590,71","2 313,26","121 839,93","245,36","3 566,36","22 107,25","30 797,72","24 752,56","8,00","359,00","9 517,00","2 253,00","1 316,00","2 615,00","2 660,00","349,00","324,00","16,00","0,00","0,00","94,00","27,00","35,00","64,00","66,00","1 175,00","213,00","90,00","249,00","243,00","0,00","119,00","527,00","6,00","57,00","42,00","4,00","29,00","81,00","313,00","867,00","187,00","12,00","7,00","0,00","14,00","1,00","0,00","11,00","1,00","2 275,00","124,00","6,00","167,00","24 997,91","181 201,93","175,00","11 503,97","156 204,01","169 697,96","0,00","527,93","913,64","288,17","68,55","256,73","0,00","32,74","103,67","121,83","1 342,59","212,00","84,00","88,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod"
"Nové Město pod Smrkem","73 992,72","2 892,76","46 884,19","8 612,52","1 351,70","20 082,42","26 757,56","10 221,99","1,00","347,00","3 753,00","645,00","598,00","1 060,00","1 167,00","142,00","141,00","8,00","0,00","0,00","8,00","17,00","5,00","11,00","18,00","454,00","53,00","22,00","31,00","152,00","0,00","50,00","152,00","5,00","2,00","10,00","1,00","5,00","50,00","85,00","191,00","36,00","0,00","0,00","0,00","2,00","0,00","0,00","1,00","1,00","685,00","46,00","4,00","246,00","18 834,51","93 827,96","101,00","-247,19","74 993,45","94 075,14","0,00","1 564,87","354,79","181,40","0,00","663,05","0,00","22,74","68,42","37,49","1 086,26","114,00","36,00","31,00","Liberecký kraj","FRÝDLANT","Liberec"
"Nové Mitrovice","3 281,40","2 091,35","4 842,92","0,00","44,09","800,27","457,11","487,67","0,00",NA,"319,00","70,00","42,00","75,00","105,00","11,00","16,00","0,00","0,00","0,00","6,00","2,00","0,00","2,00","2,00","61,00","8,00","2,00","3,00","11,00","0,00","3,00","18,00","2,00","0,00","0,00","0,00","0,00","16,00","10,00","22,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,00",NA,NA,"14,00","487,67","5 831,79","16,00","1 750,12","5 344,12","4 081,67","0,00","1 212,12","245,09","126,83","3,51","433,50","0,00","15,34","35,93","19,03","718,03","9,00","2,00","3,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Nové Sady","1 646,16","365,66","2 855,61","110,00","82,10","1 722,13","338,48","104,23","0,00",NA,"216,00","28,00","31,00","64,00","77,00","10,00","6,00","1,00","0,00","0,00","0,00","1,00","0,00","1,00","2,00","28,00","5,00","3,00","2,00","2,00","0,00","2,00","13,00","2,00","0,00","0,00","1,00","0,00","2,00","18,00","22,00","3,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,00",NA,NA,"6,00","214,23","3 490,42","7,00","122,14","3 276,19","3 368,29","0,00","28,19","265,46","28,91","0,58","29,23","0,00","3,54","5,63","4,10","300,91","2,00","1,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Nové Sady","1 366,80","244,17","1 197,20","0,00","0,00","79,99","45,14","368,00","0,00",NA,"115,00","28,00","19,00","27,00","36,00","3,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","18,00","3,00","0,00","1,00","5,00","0,00","1,00","2,00","2,00","0,00","0,00","0,00","1,00","2,00","5,00","3,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","23,00",NA,NA,"3,00","368,00","1 610,34","5,00","163,54","1 242,34","1 446,80","0,00","15,93","79,09","19,84","0,31","117,59","0,00","1,28","5,39","4,73","202,38","1,00","1,00","2,00","Jihomoravský kraj","VYŠKOV","Vyškov"
