"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Hradec nad Svitavou","9 547,85","14 081,96","862,00","133,79","4 973,89","2 341,94","932,54","3,00","1 650,00","208,00","277,00","534,00","483,00","65,00","83,00","350,00","76,00","1 794,54","18 352,23","43,00","3 830,49","16 557,69","14 521,74","37,00","18,00","20,00","Pardubický kraj","SVITAVY","Svitavy"
"Hradec-Nová Ves","1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Hradečno","2 804,58","3 561,72","108,40","1,68","426,97","478,74","174,98","4,00","477,00","90,00","69,00","132,00","152,00","15,00","19,00","84,00","12,00","283,38","4 325,52","27,00","1 093,97","4 042,14","3 231,55","5,00","3,00","7,00","Středočeský kraj","KLADNO","Kladno"
"Hrádek","24 083,91","28 175,91","3 200,00","669,35","18 540,82","5 434,52","999,31","4,00","3 030,00","465,00","425,00","1 033,00","893,00","110,00","104,00","508,00","92,00","4 199,31","38 479,09","97,00","-4 145,64","34 279,78","42 624,73","93,00","25,00","32,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Hrádek","8 206,47","9 511,74","130,00","122,49","5 034,29","1 660,45","962,18","5,00","927,00","120,00","144,00","326,00","285,00","26,00","26,00","170,00","79,00","1 092,18","12 386,86","12,00","-853,90","11 294,68","13 240,76","19,00","6,00","10,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Hrádek","1 364,90","1 757,73","0,00","0,00","13,33","80,41","97,20",NA,"191,00","28,00","25,00","64,00","59,00","9,00","6,00","44,00","7,00","97,20","1 935,34","4,00","557,11","1 838,14","1 378,23","4,00","2,00","4,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Hrádek","668,29","746,87","32,40","0,00","54,00","14,55","27,20",NA,"102,00","22,00","16,00","37,00","24,00","2,00","1,00","14,00","6,00","59,60","821,02","2,00","98,73","761,42","722,29","2,00","2,00","0,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Hrádek","10 508,96","13 742,66","0,00","10,24","5 814,06","1 053,36","771,78","3,00","1 787,00","259,00","270,00","586,00","585,00","50,00","37,00","244,00","47,00","771,78","15 578,04","36,00","-744,98","14 806,26","16 323,02","43,00","21,00","16,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Hrádek","10 267,73","12 695,71","0,00","77,98","1 193,97","1 876,47","1 297,53","4,00","1 360,00","206,00","212,00","464,00","402,00","35,00","41,00","260,00","58,00","1 297,53","15 947,69","48,00","4 485,99","14 650,16","11 461,70","32,00","10,00","12,00","Plzeňský kraj","SUŠICE","Klatovy"
"Hrádek nad Nisou","86 738,08","75 720,59","11 936,10","21 810,06","40 937,76","12 969,65","8 332,41","50,00","7 574,00","1 021,00","1 236,00","2 459,00","2 316,00","281,00","261,00","1 804,00","318,00","20 268,51","130 768,81","182,00","3 092,97","110 500,30","127 675,84","135,00","78,00","88,00","Liberecký kraj","LIBEREC","Liberec"
"Hradešice","3 646,66","3 920,75","1 324,60","0,00","2 060,00","549,61","438,09","1,00","415,00","78,00","50,00","135,00","121,00","17,00","14,00","96,00","6,00","1 762,69","6 233,05","8,00","526,39","4 470,36","5 706,66","7,00","6,00","6,00","Plzeňský kraj","HORAŽĎOVICE","Klatovy"
"Hradešín","3 685,84","2 150,43","0,00","2 957,90","1 759,13","499,05","69,91","3,00","279,00","27,00","66,00","86,00","90,00","4,00","6,00","81,00","3,00","69,91","5 677,29","23,00","232,32","5 607,38","5 444,97","7,00","3,00","8,00","Středočeský kraj","ČESKÝ BROD","Kolín"
"Hradiště","190,60","363,61","150,00","0,00","524,86","59,26","27,20",NA,"24,00","8,00","0,00","8,00","6,00","1,00","1,00","11,00","0,00","177,20","600,07","2,00","-115,39","422,87","715,46","1,00","2,00","0,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Hradiště","3 010,42","2 947,15","0,00","0,00","1 204,02","618,76","316,41",NA,"267,00","33,00","46,00","100,00","63,00","13,00","12,00","97,00","2,00","316,41","3 882,32","2,00","-332,12","3 565,91","4 214,44","5,00","0,00","7,00","Plzeňský kraj","NEPOMUK","Plzeň-jih"
"Hradiště","652,95","386,08","0,00","0,00","75,00","206,08","133,78",NA,"35,00","9,00","4,00","13,00","6,00","2,00","1,00","12,00","0,00","133,78","725,94","0,00","-2,01","592,16","727,95","0,00","0,00","1,00","Středočeský kraj","VLAŠIM","Benešov"
"Hradiště","3 363,06","3 862,43","0,00","0,00","643,08","98,88","227,20","1,00","162,00","27,00","18,00","55,00","51,00","6,00","5,00","33,00","7,00","227,20","4 188,51","2,00","182,37","3 961,31","4 006,14","3,00","2,00","3,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Hradiště",NA,NA,NA,NA,NA,NA,NA,NA,"613,00","66,00","114,00","222,00","183,00","13,00","15,00","98,00","43,00",NA,NA,"27,00",NA,NA,NA,"22,00","5,00","10,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Hradištko","5 159,95","5 073,63","0,00","89,50","1 081,22","793,08","55,06","1,00","498,00","87,00","74,00","160,00","140,00","14,00","23,00","149,00","13,00","55,06","6 011,27","56,00","-229,90","5 956,21","6 241,17","23,00","3,00","5,00","Středočeský kraj","NYMBURK","Nymburk"
"Hradištko","14 853,77","14 828,64","1 974,00","3 612,17","6 457,69","3 045,29","312,46","21,00","1 585,00","222,00","262,00","501,00","465,00","70,00","65,00","459,00","16,00","2 286,46","23 772,56","96,00","2 461,10","21 486,10","21 311,46","28,00","19,00","20,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
