"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Potěhy","5 465,26","5 644,00","131,77","28,00","5 925,81","727,79","1 249,33","1,00","609,00","63,00","95,00","197,00","212,00","16,00","26,00","113,00","19,00","1 381,10","7 780,89","16,00","-3 610,18","6 399,79","11 391,07","19,00","7,00","5,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Potštát","14 835,31","11 213,52","0,00","1 495,81","791,73","4 904,15","1 874,95",NA,"1 191,00","185,00","175,00","401,00","370,00","30,00","30,00","238,00","46,00","1 874,95","19 488,43","37,00","3 861,39","17 613,48","15 627,04","33,00","10,00","10,00","Olomoucký kraj","HRANICE","Přerov"
"Potštejn","13 882,67","7 979,49","877,00","1 489,26","4 436,57","3 865,16","1 852,50","3,00","899,00","146,00","113,00","272,00","275,00","50,00","43,00","213,00","12,00","2 729,50","16 063,41","27,00","-2 255,83","13 333,91","18 319,24","26,00","8,00","15,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Potůčky","15 523,25","9 979,90","0,00","2 000,00","4 740,00","2 331,90","15 905,44","2,00","412,00","50,00","64,00","135,00","148,00","5,00","10,00","187,00","21,00","15 905,44","30 217,24","28,00","9 953,99","14 311,80","20 263,25","28,00","1,00","13,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Potvorov","832,02","1 621,61","0,00","0,00","4 454,82","56,48","27,20","1,00","152,00","27,00","20,00","50,00","46,00","5,00","4,00","40,00","3,00","27,20","1 705,29","0,00","-3 581,55","1 678,09","5 286,84","3,00","0,00","2,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Poustka","2 805,86","1 396,49","290,00","38,13","2 950,42","310,55","1 479,73",NA,"157,00","16,00","29,00","57,00","47,00","3,00","5,00","38,00","13,00","1 769,73","3 514,90","45,00","-2 241,38","1 745,17","5 756,28","5,00","2,00","3,00","Karlovarský kraj","CHEB","Cheb"
"Pouzdřany","5 945,78","6 883,78","0,00","4 319,04","1 072,55","811,95","419,30","2,00","756,00","120,00","115,00","257,00","220,00","26,00","18,00","172,00","28,00","419,30","12 434,07","14,00","5 415,74","12 014,77","7 018,33","8,00","3,00","7,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Povrly","22 236,81","18 693,09","598,00","4 224,88","5 431,53","6 692,61","3 189,71","7,00","2 214,00","283,00","338,00","713,00","704,00","89,00","87,00","376,00","118,00","3 787,71","33 398,29","67,00","5 729,95","29 610,58","27 668,34","51,00","26,00","33,00","Ústecký kraj","ÚSTÍ NAD LABEM","Ústí nad Labem"
"Pozďatín","2 086,58","1 731,73","0,00","122,84","0,00","309,56","313,65",NA,"179,00","38,00","28,00","54,00","43,00","11,00","5,00","36,00","7,00","313,65","2 477,78","3,00","391,20","2 164,13","2 086,58","3,00","2,00","2,00","Vysočina","TŘEBÍČ","Třebíč"
"Pozděchov","4 205,14","4 901,54","659,00","298,55","2 539,17","423,79","525,75",NA,"555,00","101,00","76,00","182,00","162,00","15,00","19,00","110,00","27,00","1 184,75","6 808,63","8,00","64,32","5 623,88","6 744,31","16,00","5,00","7,00","Zlínský kraj","VSETÍN","Vsetín"
"Pozdeň","2 350,71","3 755,39","24,12","8,02","756,84","320,92","235,76",NA,"423,00","57,00","71,00","139,00","132,00","12,00","12,00","85,00","13,00","259,88","4 344,21","23,00","1 236,66","4 084,33","3 107,55","10,00","3,00","6,00","Středočeský kraj","SLANÝ","Kladno"
"Pozlovice","10 936,11","12 351,06","3 391,04","1 112,89","5 701,21","2 151,11","638,60",NA,"1 168,00","149,00","186,00","361,00","393,00","40,00","39,00","338,00","24,00","4 029,64","19 644,70","5,00","3 007,38","15 615,06","16 637,32","20,00","15,00","12,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Pozořice","16 499,21","18 547,28","0,00","1 518,82","7 062,63","3 766,84","3 083,65","15,00","2 105,00","344,00","331,00","669,00","656,00","58,00","47,00","484,00","37,00","3 083,65","26 916,59","45,00","3 354,75","23 832,94","23 561,84","60,00","16,00","31,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Práče","6 125,98","7 601,40","116,00","21,56","2 417,44","1 529,31","707,71","4,00","829,00","41,00","163,00","281,00","307,00","15,00","22,00","177,00","45,00","823,71","9 975,98","35,00","1 432,56","9 152,27","8 543,42","23,00","7,00","9,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Prace","4 950,64","7 191,92","54,00","513,00","2 529,34","490,46","724,01","3,00","912,00","123,00","145,00","299,00","287,00","27,00","31,00","179,00","19,00","778,01","8 973,39","19,00","1 493,41","8 195,38","7 479,98","16,00","5,00","8,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Pracejovice","3 231,56","2 622,56","250,23","5,46","515,08","651,76","156,90","2,00","318,00","44,00","44,00","119,00","100,00","5,00","6,00","80,00","8,00","407,13","3 686,91","13,00","-59,73","3 279,78","3 746,64","10,00","6,00","6,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Prachatice","275 592,21","144 492,72","20 052,32","14 869,27","104 443,24","42 742,86","155 937,38","20,00","11 686,00","1 449,00","1 702,00","3 814,00","3 927,00","419,00","375,00","2 906,00","289,00","175 989,70","378 094,53","189,00","-1 940,92","202 104,85","380 035,45","255,00","93,00","133,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Prachovice","17 987,49","12 436,85","2 000,00","1 730,84","8 133,44","7 612,80","982,65","2,00","1 481,00","167,00","234,00","560,00","472,00","29,00","19,00","293,00","78,00","2 982,65","24 763,14","47,00","-1 357,79","21 780,49","26 120,93","54,00","19,00","20,00","Pardubický kraj","CHRUDIM","Chrudim"
"Prackovice nad Labem","5 877,18","5 009,45","7 552,00","539,56","8 852,66","966,98","573,04",NA,"594,00","79,00","89,00","190,00","179,00","23,00","34,00","95,00","31,00","8 125,04","14 641,03","34,00","-88,81","6 515,99","14 729,84","8,00","5,00","2,00","Ústecký kraj","LOVOSICE","Litoměřice"
"Prádlo","2 326,03","2 169,73","459,00","0,00","515,14","254,47","262,30",NA,"259,00","50,00","24,00","102,00","62,00","11,00","10,00","33,00","4,00","721,30","3 145,50","54,00","304,33","2 424,20","2 841,17","1,00","3,00","2,00","Plzeňský kraj","NEPOMUK","Plzeň-jih"
"Prakšice","7 850,63","10 787,96","300,00","2 540,98","7 179,48","1 877,34","675,79","3,00","981,00","146,00","165,00","322,00","286,00","33,00","29,00","160,00","24,00","975,79","16 182,07","14,00","1 151,96","15 206,28","15 030,11","10,00","10,00","10,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Prameny","2 037,68","2 115,02","0,00","85,57","3,45","410,19","27,20",NA,"145,00","7,00","16,00","60,00","55,00","2,00","5,00","58,00","8,00","27,20","2 637,98","6,00","596,85","2 610,78","2 041,13","2,00","1,00","1,00","Karlovarský kraj","MARIÁNSKÉ LÁZNĚ","Cheb"
"Prasek","4 319,21","5 207,41","0,00","37,10","96,64","982,06","701,01","2,00","582,00","78,00","80,00","204,00","182,00","19,00","19,00","134,00","12,00","701,01","6 927,58","17,00","2 511,73","6 226,57","4 415,85","9,00","6,00","3,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Praskačka","8 086,51","10 054,05","529,67","132,42","2 478,13","688,18","691,42","8,00","994,00","142,00","129,00","340,00","319,00","28,00","36,00","238,00","17,00","1 221,09","12 095,74","58,00","1 531,10","10 874,65","10 564,64","26,00","6,00","9,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Prasklice","1 774,29","2 193,08","0,00","18,38","0,00","79,93","34,99",NA,"247,00","62,00","37,00","64,00","67,00","9,00","8,00","41,00","15,00","34,99","2 326,38","6,00","552,09","2 291,39","1 774,29","4,00","3,00","6,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Praskolesy","6 186,79","6 893,29","749,00","1 500,00","1 690,51","631,73","162,40","5,00","882,00","131,00","127,00","307,00","255,00","37,00","25,00","182,00","13,00","911,40","9 936,42","33,00","2 059,12","9 025,02","7 877,30","19,00","10,00","11,00","Středočeský kraj","HOŘOVICE","Beroun"
"Přáslavice","19 110,32","11 759,33","4 303,47","1,77","5 889,43","6 659,46","1 432,62","25,00","1 361,00","179,00","202,00","441,00","453,00","36,00","50,00","234,00","39,00","5 736,09","24 156,65","32,00","-843,10","18 420,56","24 999,75","19,00","6,00","26,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Pravčice","5 015,79","5 791,45","250,00","206,90","4 302,31","458,70","77,97","1,00","729,00","98,00","119,00","235,00","228,00","24,00","25,00","130,00","26,00","327,97","6 785,02","25,00","-2 533,08","6 457,05","9 318,10","19,00","8,00","14,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Pravice","2 828,08","3 203,77","0,00","70,62","1 263,29","667,89","592,90","1,00","325,00","44,00","58,00","108,00","97,00","9,00","9,00","55,00","32,00","592,90","4 535,18","9,00","443,81","3 942,28","4 091,37","10,00","2,00","4,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Pravlov","3 204,69","4 276,34","400,70","72,20","553,21","161,85","351,69",NA,"554,00","69,00","85,00","186,00","173,00","18,00","23,00","87,00","26,00","752,39","5 262,78","13,00","1 504,88","4 510,39","3 757,90","13,00","4,00","4,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Pravonín","5 616,09","5 254,15","500,00","15,60","1 704,86","994,22","631,15","4,00","557,00","91,00","88,00","187,00","163,00","14,00","14,00","136,00","5,00","1 131,15","7 395,12","16,00","74,17","6 263,97","7 320,95","5,00","12,00","5,00","Středočeský kraj","VLAŠIM","Benešov"
"Pravy","777,74","889,44","200,00","2,52","411,26","127,28","33,02","1,00","84,00","13,00","15,00","26,00","23,00","3,00","4,00","24,00","4,00","233,02","1 252,26","5,00","63,26","1 019,24","1 189,00","1,00","1,00","0,00","Pardubický kraj","PARDUBICE","Pardubice"
"Pražmo","6 531,89","7 349,82","2 789,25","8,40","3 914,18","704,29","389,41","1,00","994,00","123,00","139,00","329,00","331,00","39,00","33,00","184,00","29,00","3 178,66","11 241,17","35,00","795,10","8 062,51","10 446,07","31,00","8,00","9,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Přeborov","793,61","1 219,96","252,90","0,00","824,35","105,87","27,20",NA,"128,00","20,00","14,00","45,00","42,00","4,00","3,00","32,00","5,00","280,10","1 605,93","0,00","-12,03","1 325,83","1 617,96","6,00","1,00","1,00","Jihočeský kraj","MILEVSKO","Písek"
"Přebuz","2 189,84","2 208,97","0,00","773,83","30,00","182,49","426,35",NA,"77,00","21,00","4,00","21,00","20,00","6,00","5,00","15,00","3,00","426,35","3 591,64","0,00","1 371,80","3 165,29","2 219,84","3,00","1,00","0,00","Karlovarský kraj","KRASLICE","Sokolov"
"Přechovice","1 446,20","1 106,66","500,96","0,00","763,85","283,43","374,16",NA,"114,00","21,00","16,00","38,00","35,00","3,00","1,00","38,00","1,00","875,12","2 265,21","1,00","55,16","1 390,09","2 210,05","3,00","2,00","1,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Přeckov","537,56","735,15","0,00","0,00","30,96","6,01","74,92",NA,"78,00","13,00","16,00","20,00","24,00","2,00","3,00","15,00","3,00","74,92","816,08","7,00","247,56","741,16","568,52","1,00","0,00","0,00","Vysočina","TŘEBÍČ","Třebíč"
"Předboj","4 375,54","5 324,37","0,00","5 640,77","2 512,70","1 236,56","62,72","17,00","505,00","58,00","115,00","147,00","152,00","20,00","13,00","116,00","8,00","62,72","12 264,42","47,00","5 376,18","12 201,70","6 888,24","27,00","4,00","6,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Předenice","1 777,45","1 913,76","60,00","2,50","0,00","650,69","29,25","2,00","187,00","23,00","28,00","59,00","56,00","10,00","11,00","50,00","2,00","89,25","2 656,20","7,00","878,75","2 566,95","1 777,45","4,00","0,00","3,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Předhradí","4 256,81","3 755,82","330,00","10,90","940,13","934,28","502,35",NA,"440,00","78,00","61,00","135,00","122,00","18,00","26,00","83,00","18,00","832,35","5 533,35","11,00","336,41","4 701,00","5 196,94","16,00","12,00","3,00","Pardubický kraj","CHRUDIM","Chrudim"
"Předín","6 360,48","5 756,12","116,00","581,05","1 484,03","1 082,43","679,23","2,00","711,00","110,00","126,00","211,00","220,00","20,00","24,00","113,00","32,00","795,23","8 214,83","11,00","370,32","7 419,60","7 844,51","13,00","7,00","7,00","Vysočina","TŘEBÍČ","Třebíč"
"Předklášteří","14 966,50","12 139,42","0,00","137,70","1 382,78","5 081,44","553,06","1,00","1 446,00","266,00","180,00","439,00","454,00","53,00","54,00","275,00","24,00","553,06","17 911,62","49,00","1 562,34","17 358,56","16 349,28","20,00","25,00","16,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Předměřice nad Jizerou","4 924,64","6 808,56","0,00","5 047,33","1 053,48","658,61","563,87","1,00","742,00","95,00","83,00","257,00","268,00","21,00","18,00","165,00","18,00","563,87","13 078,37","42,00","7 100,25","12 514,50","5 978,12","40,00","5,00","8,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Předměřice nad Labem","11 469,11","17 369,79","200,00","9 893,12","14 144,38","2 114,01","759,95","14,00","1 835,00","224,00","283,00","604,00","621,00","49,00","54,00","419,00","25,00","959,95","30 336,87","112,00","4 723,38","29 376,92","25 613,49","112,00","9,00","18,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Předmíř","1 865,19","3 064,80","120,00","30,10","642,05","489,52","65,87","4,00","329,00","52,00","41,00","116,00","102,00","9,00","9,00","53,00","13,00","185,87","3 770,29","20,00","1 263,05","3 584,42","2 507,24","10,00","4,00","5,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Přední Výtoň","4 949,02","5 964,27","205,47","5 031,41","747,98","445,73","267,82","7,00","211,00","25,00","18,00","81,00","61,00","12,00","14,00","81,00","8,00","473,29","11 914,70","15,00","6 217,70","11 441,41","5 697,00","5,00","3,00","0,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Přední Zborovice","352,17","584,43","0,00","0,00","0,00","46,46","36,20",NA,"63,00","20,00","3,00","19,00","20,00","0,00","1,00","18,00","6,00","36,20","667,09","1,00","314,92","630,89","352,17","4,00","1,00","1,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Předotice","5 204,50","5 101,40","2 400,00","1 696,87","3 217,33","1 189,57","530,15",NA,"448,00","86,00","74,00","134,00","124,00","16,00","14,00","86,00","11,00","2 930,15","10 917,99","12,00","2 496,16","7 987,84","8 421,83","3,00","8,00","7,00","Jihočeský kraj","PÍSEK","Písek"
"Předslav","5 634,45","6 640,84","3 545,00","805,05","8 077,18","2 095,18","316,55","1,00","743,00","107,00","129,00","227,00","223,00","31,00","26,00","151,00","23,00","3 861,55","13 402,62","29,00","-309,01","9 541,07","13 711,63","20,00","5,00","12,00","Plzeňský kraj","KLATOVY","Klatovy"
"Předslavice","5 382,47","2 767,93","80,00","0,00","409,67","99,68","2 616,91",NA,"263,00","54,00","36,00","94,00","70,00","6,00","3,00","56,00","3,00","2 696,91","5 564,52","7,00","-227,62","2 867,61","5 792,14","11,00","3,00","2,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Přehořov","2 743,55","3 060,66","0,00","0,00","580,57","300,70","288,93","2,00","344,00","48,00","59,00","119,00","106,00","7,00","5,00","73,00","19,00","288,93","3 650,29","9,00","326,17","3 361,36","3 324,12","8,00","3,00","3,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Přehvozdí","2 121,89","1 735,48","134,00","436,20","1 619,88","798,14","34,41","3,00","212,00","29,00","27,00","74,00","70,00","8,00","4,00","61,00","9,00","168,41","3 138,23","17,00","-603,54","2 969,82","3 741,77","13,00","0,00","1,00","Středočeský kraj","ČESKÝ BROD","Kolín"
"Přehýšov","4 261,47","6 083,44","280,00","1 864,98","4 246,95","869,96","109,62","1,00","611,00","86,00","82,00","178,00","226,00","20,00","19,00","86,00","28,00","389,62","9 208,00","24,00","699,58","8 818,38","8 508,42","28,00","6,00","4,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Přelíc","2 753,64","3 041,99","153,06","5 832,16","1 358,81","419,15","25,35","3,00","356,00","55,00","47,00","117,00","110,00","11,00","16,00","79,00","12,00","178,41","9 471,71","20,00","5 359,26","9 293,30","4 112,45","12,00","4,00","6,00","Středočeský kraj","SLANÝ","Kladno"
"Přelouč","160 812,35","95 200,25","4 851,00","14 735,54","46 846,93","14 609,09","79 805,29","14,00","8 721,00","1 394,00","1 112,00","2 891,00","2 727,00","301,00","296,00","1 983,00","253,00","84 656,29","209 201,17","414,00","1 541,89","124 544,88","207 659,28","207,00","99,00","88,00","Pardubický kraj","PŘELOUČ","Pardubice"
"Přelovice","1 446,64","1 617,44","0,00","0,00","51,22","161,29","128,57",NA,"196,00","32,00","24,00","69,00","63,00","3,00","5,00","34,00","8,00","128,57","1 907,30","9,00","409,44","1 778,73","1 497,86","3,00","3,00","1,00","Pardubický kraj","PŘELOUČ","Pardubice"
"Přemyslovice","7 590,82","10 860,11","0,00","169,05","1 006,85","2 013,61","1 383,10","1,00","1 284,00","237,00","168,00","420,00","382,00","41,00","36,00","212,00","32,00","1 383,10","14 425,87","20,00","5 828,20","13 042,77","8 597,67","18,00","10,00","12,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Přepeře","1 426,53","1 199,92","0,00","20,00","9,62","88,10","150,35","1,00","133,00","26,00","16,00","38,00","42,00","5,00","6,00","37,00","0,00","150,35","1 458,37","3,00","22,22","1 308,02","1 436,15","1,00","1,00","2,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Přepychy","4 630,78","5 631,64","0,00","41,10","2 033,20","828,03","581,88","2,00","619,00","112,00","74,00","190,00","200,00","26,00","17,00","124,00","12,00","581,88","7 082,65","11,00","418,67","6 500,77","6 663,98","31,00","11,00","7,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Přepychy","501,10","710,90","0,00","0,00","0,00","136,48","30,97",NA,"77,00","14,00","6,00","29,00","23,00","3,00","2,00","26,00","1,00","30,97","878,35","2,00","377,25","847,38","501,10","0,00","1,00","1,00","Pardubický kraj","PŘELOUČ","Pardubice"
"Přerov","877 090,19","574 697,83","39 712,62","79 633,10","216 625,07","115 243,05","306 713,09","156,00","46 503,00","7 478,00","5 961,00","15 032,00","14 519,00","1 962,00","1 551,00","9 746,00","2 052,00","346 425,71","1 115 999,66","651,00","22 284,40","769 573,98","1 093 715,26","1 247,00","425,00","487,00","Olomoucký kraj","PŘEROV","Přerov"
"Přerov nad Labem","8 387,68","9 397,75","1 450,00","91,71","3 243,99","1 102,47","470,10","6,00","1 083,00","154,00","161,00","383,00","328,00","29,00","28,00","316,00","30,00","1 920,10","12 512,03","49,00","880,36","10 591,93","11 631,67","41,00","15,00","25,00","Středočeský kraj","LYSÁ NAD LABEM","Nymburk"
"Přerubenice","579,56","626,76","100,50","9,51","210,54","30,38","21,95",NA,"68,00","13,00","10,00","21,00","19,00","2,00","3,00","18,00","1,00","122,45","789,10","4,00","-1,00","666,65","790,10","0,00","1,00","1,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Přeskače","1 724,88","3 125,83","1 162,10","1 300,00","440,62","227,71","377,29",NA,"104,00","22,00","12,00","34,00","33,00","2,00","1,00","26,00","8,00","1 539,39","6 192,93","1,00","4 027,43","4 653,54","2 165,50","0,00","0,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Přešovice","1 174,28","1 545,98","116,00","95,00","1 110,01","767,91","72,56",NA,"144,00","39,00","12,00","44,00","36,00","8,00","5,00","25,00","5,00","188,56","2 597,45","1,00","313,16","2 408,89","2 284,29","7,00","1,00","2,00","Vysočina","TŘEBÍČ","Třebíč"
"Přestanov","8 851,69","5 213,23","0,00","0,00","3 093,48","2 786,18","735,05","3,00","364,00","46,00","63,00","125,00","114,00","9,00","7,00","71,00","12,00","735,05","8 734,46","20,00","-3 210,71","7 999,41","11 945,17","4,00","6,00","3,00","Ústecký kraj","ÚSTÍ NAD LABEM","Ústí nad Labem"
"Přestavlky","1 714,96","1 929,53","0,00","2 033,09","136,46","428,85","218,79","1,00","259,00","25,00","40,00","92,00","90,00","4,00","8,00","45,00","16,00","218,79","4 610,26","35,00","2 758,84","4 391,47","1 851,42","14,00","4,00","6,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Přestavlky","1 243,56","1 811,95","0,00","0,00","26,18","229,82","27,20",NA,"212,00","20,00","35,00","79,00","65,00","6,00","7,00","35,00","13,00","27,20","2 068,97","6,00","799,23","2 041,77","1 269,74","6,00","2,00","2,00","Pardubický kraj","CHRUDIM","Chrudim"
"Přestavlky","1 686,27","2 295,57","200,00","0,00","936,42","244,29","79,20",NA,"210,00","36,00","19,00","83,00","55,00","8,00","9,00","54,00","5,00","279,20","2 819,06","10,00","196,37","2 539,86","2 622,69","8,00","1,00","2,00","Plzeňský kraj","STOD","Plzeň-jih"
"Přestavlky","2 015,59","2 125,52","86,00","2 239,55","587,33","226,13","187,83","1,00","256,00","47,00","29,00","89,00","74,00","6,00","11,00","34,00","12,00","273,83","4 865,03","8,00","2 262,11","4 591,20","2 602,92","2,00","3,00","2,00","Olomoucký kraj","PŘEROV","Přerov"
"Přestavlky u Čerčan","2 584,57","3 157,63","1 634,00","1 367,22","3 597,56","150,87","71,11","5,00","275,00","32,00","40,00","95,00","84,00","10,00","14,00","91,00","9,00","1 705,11","6 380,83","8,00","198,70","4 675,72","6 182,13","3,00","4,00","4,00","Středočeský kraj","BENEŠOV","Benešov"
"Přeštěnice","2 939,85","2 711,25","60,00","1,58","344,53","273,04","253,89",NA,"290,00","41,00","37,00","97,00","91,00","15,00","9,00","80,00","9,00","313,89","3 299,76","4,00","15,38","2 985,87","3 284,38","9,00","3,00","1,00","Jihočeský kraj","MILEVSKO","Písek"
"Přeštice","129 091,07","70 719,01","2 746,00","13 075,39","35 515,95","22 543,99","59 735,68","17,00","6 877,00","1 027,00","964,00","2 303,00","2 107,00","243,00","233,00","1 505,00","95,00","62 481,68","168 820,07","454,00","4 213,05","106 338,39","164 607,02","204,00","62,00","82,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Přešťovice","9 772,38","4 051,12","1 170,00","164,55","2 321,68","354,12","6 508,32","2,00","420,00","85,00","58,00","128,00","111,00","17,00","21,00","89,00","13,00","7 678,32","12 248,11","31,00","154,05","4 569,79","12 094,06","25,00","4,00","3,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Převýšov","2 306,62","2 746,56","325,00","0,00","871,67","253,01","47,04","1,00","330,00","59,00","45,00","99,00","105,00","10,00","12,00","59,00","13,00","372,04","3 371,61","14,00","193,32","2 999,57","3 178,29","5,00","2,00","5,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Přezletice","13 036,97","6 027,66","3 066,00","6 032,48","16 240,00","1 444,05","3 360,90","7,00","886,00","123,00","137,00","266,00","272,00","43,00","45,00","223,00","12,00","6 426,90","19 931,09","53,00","-9 345,88","13 504,19","29 276,97","8,00","8,00","6,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Přibice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","POHOŘELICE","Brno-venkov"
"Příbor","129 454,75","78 525,66","12 075,00","48 129,94","40 437,66","54 426,88","11 721,72","19,00","8 767,00","1 361,00","1 269,00","2 873,00","2 747,00","273,00","244,00","1 594,00","285,00","23 796,72","204 879,21","124,00","34 986,80","181 082,48","169 892,41","141,00","91,00","86,00","Moravskoslezský kraj","KOPŘIVNICE","Nový Jičín"
"Příbram","598 923,71","418 716,66","13 132,37","59 573,18","134 462,53","91 912,14","171 092,50","47,00","34 496,00","5 083,00","4 570,00","11 312,00","11 243,00","1 181,00","1 107,00","9 619,00","1 395,00","184 224,87","754 426,85","732,00","21 040,61","570 201,98","733 386,24","868,00","342,00","383,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Příbram na Moravě","4 940,14","5 316,92","605,00","58,00","1 312,17","538,29","120,90",NA,"565,00","120,00","77,00","164,00","157,00","20,00","27,00","70,00","18,00","725,90","6 639,11","16,00","386,80","5 913,21","6 252,31","4,00","8,00","5,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Příbraz","1 738,40","2 478,99","0,00","986,75","1 320,65","178,86","36,20","8,00","252,00","61,00","34,00","79,00","55,00","9,00","14,00","41,00","5,00","36,20","3 680,80","14,00","621,75","3 644,60","3 059,05","13,00","1,00","7,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Přibyslav","44 318,30","61 682,29","1 331,33","12 119,43","43 712,04","2 860,41","26 426,76","14,00","4 018,00","606,00","624,00","1 324,00","1 240,00","113,00","111,00","667,00","95,00","27 758,09","104 420,22","72,00","16 389,88","76 662,13","88 030,34","44,00","32,00","58,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Přibyslav","1 214,63","1 379,91","0,00","0,00","0,00","128,50","27,20",NA,"175,00","17,00","18,00","67,00","64,00","5,00","4,00","69,00","1,00","27,20","1 535,61","7,00","320,98","1 508,41","1 214,63","16,00","2,00","1,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod"
"Přibyslavice","2 309,13","4 042,15","596,00","2,68","1 320,29","523,73","110,70",NA,"458,00","79,00","61,00","154,00","143,00","12,00","9,00","61,00","10,00","706,70","5 275,26","12,00","1 645,84","4 568,56","3 629,42","13,00","3,00","3,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Přibyslavice","5 285,53","6 056,93","226,00","34,29","1 855,72","1 145,39","390,36","4,00","778,00","119,00","100,00","263,00","246,00","29,00","21,00","109,00","15,00","616,36","7 852,97","13,00","711,72","7 236,61","7 141,25","17,00","5,00","10,00","Vysočina","TŘEBÍČ","Třebíč"
"Příchovice","8 754,86","9 949,45","1 000,00","3 001,96","5 408,29","1 883,68","438,59","3,00","1 025,00","148,00","177,00","327,00","304,00","35,00","34,00","196,00","15,00","1 438,59","16 273,68","53,00","2 110,53","14 835,09","14 163,15","37,00","15,00","17,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Příčina","1 194,62","1 340,14","0,00","7,03","30,67","18,07","17,51",NA,"179,00","32,00","23,00","58,00","53,00","6,00","7,00","23,00","2,00","17,51","1 382,75","6,00","157,46","1 365,24","1 225,29","1,00","1,00","0,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Příčovy","3 231,87","2 071,64","0,00","4 026,44","1 156,86","210,43","207,29","2,00","272,00","29,00","38,00","92,00","88,00","15,00","10,00","65,00","8,00","207,29","6 515,80","16,00","2 127,07","6 308,51","4 388,73","2,00","1,00","3,00","Středočeský kraj","SEDLČANY","Příbram"
